,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.15440690559254028,0.052747762776745616,0.2560660484083349,True
3,cross,2,0.1894781468791382,0.09719661465131728,0.2817596791069591,True
6,cross,3,0.18665420100438415,0.09139543754820763,0.2819129644605607,True
9,cross,4,0.1952524386795306,0.09979027069953629,0.2907146066595249,True
12,cross,5,0.18640939880178206,0.09172204919160397,0.28109674841196014,True
2,large_firm,1,3.5376715135916363,2.426224373786179,4.649118653397094,True
5,large_firm,2,2.960251691786464,1.9608049398303824,3.9596984437425458,True
8,large_firm,3,2.914279800255072,1.8821852914116355,3.9463743090985086,True
11,large_firm,4,2.765647786574549,1.7361177880960272,3.795177785053071,True
14,large_firm,5,2.8169465992595577,1.8032365575732916,3.830656640945824,True
1,pre_cohort_log_restriction_2_0,1,-0.019319241476767612,-0.3955009275730291,0.3568624446194939,False
4,pre_cohort_log_restriction_2_0,2,-0.035023414883974646,-0.46980804365780515,0.39976121388985586,False
7,pre_cohort_log_restriction_2_0,3,-0.04793677756659013,-0.5298044062188679,0.43393085108568763,False
10,pre_cohort_log_restriction_2_0,4,-0.05698748754861987,-0.6080430448448689,0.49406806974762923,False
13,pre_cohort_log_restriction_2_0,5,-0.06231653084047816,-0.6889522672456223,0.564319205564666,False
