,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.0643416183585221,-0.08453809433187813,0.21322133104892232,False
3,cross,2,0.0398708186469738,-0.08418791940451442,0.16392955669846201,False
6,cross,3,0.020128822378750025,-0.09981741359503232,0.14007505835253237,False
9,cross,4,0.040279735547365386,-0.08459342868480799,0.16515289977953876,False
12,cross,5,0.03677288734371333,-0.06603442597044021,0.13958020065786686,False
2,large_firm,1,-0.8584238043854061,-2.56276566520287,0.8459180564320575,False
5,large_firm,2,-0.5974272653388476,-2.0191147566215224,0.8242602259438271,False
8,large_firm,3,-0.36677801771661306,-1.7380015232325372,1.004445487799311,False
11,large_firm,4,-0.5876825472035448,-2.016628705258059,0.8412636108509691,False
14,large_firm,5,-0.5381389147834548,-1.7038643349397784,0.6275865053728689,False
1,pre_cohort_log_restriction_2_0,1,-0.008886322101213736,-0.02795274430614266,0.010180100103715192,False
4,pre_cohort_log_restriction_2_0,2,-0.05264230864542798,-0.08481675059655083,-0.02046786669430512,True
7,pre_cohort_log_restriction_2_0,3,-0.10342908326557998,-0.1470946965005075,-0.05976347003065246,True
10,pre_cohort_log_restriction_2_0,4,-0.12620697318863694,-0.18993706313111497,-0.06247688324615891,True
13,pre_cohort_log_restriction_2_0,5,-0.1031730826858977,-0.18149868103241562,-0.024847484339379777,True
