,name,age,Coef,lower_ci,upper_ci,significance
0,curr_chg_restriction_2_0,1,-0.17737212729379595,-0.2863761119500281,-0.06836814263756377,True
3,curr_chg_restriction_2_0,2,-0.005436823540843981,-0.19890979818976692,0.18803615110807895,False
7,curr_chg_restriction_2_0,3,0.06543667562617736,-0.10765192153819303,0.23852527279054775,False
11,curr_chg_restriction_2_0,4,-0.010201739639495217,-0.2428978310975047,0.22249435181851426,False
15,curr_chg_restriction_2_0,5,-0.024112231861330737,-0.13585891484020968,0.0876344511175482,False
1,enter_chg_restriction_2_0,1,0.09677297642900294,-0.01995688755302387,0.21350284041102974,False
5,enter_chg_restriction_2_0,2,0.023781530709317864,-0.1303915542683038,0.1779546156869395,False
9,enter_chg_restriction_2_0,3,0.022421107127560163,-0.13234266325273653,0.17718487750785683,False
13,enter_chg_restriction_2_0,4,0.03975402209763951,-0.08175882143494599,0.16126686563022502,False
17,enter_chg_restriction_2_0,5,0.030572536750142792,-0.07186992306184402,0.13301499656212962,False
4,life_chg_restriction_2_0,2,-0.12317256301467512,-0.23887286412469716,-0.0074722619046530825,True
8,life_chg_restriction_2_0,3,-0.11638236589586562,-0.2534720439299576,0.02070731213822638,False
12,life_chg_restriction_2_0,4,-0.1763934205659473,-0.40317167071565463,0.05038482958375998,False
16,life_chg_restriction_2_0,5,-0.03743380211792947,-0.27015907115272597,0.19529146691686705,False
2,pre_cohort_log_restriction_2_0,1,-0.0217058276836478,-0.04838940228117185,0.004977746913876254,False
6,pre_cohort_log_restriction_2_0,2,-0.048942148752578185,-0.07430734109437488,-0.02357695641078149,True
10,pre_cohort_log_restriction_2_0,3,-0.053288804714090324,-0.0850715636490657,-0.021506045779114934,True
14,pre_cohort_log_restriction_2_0,4,-0.04442261620479797,-0.06471421884507869,-0.024131013564517252,True
18,pre_cohort_log_restriction_2_0,5,-0.027335911788855884,-0.054385467621725886,-0.0002863559559858793,True
