,name,age,Coef,lower_ci,upper_ci,significance
1,full_chg_restriction_2_0,1,-0.02804148059673471,-0.08044068039158023,0.0243577191981108,False
3,full_chg_restriction_2_0,2,-0.07113733340268706,-0.19883798916083928,0.05656332235546514,False
5,full_chg_restriction_2_0,3,-0.02232930285047013,-0.24429792762709907,0.1996393219261588,False
7,full_chg_restriction_2_0,4,-0.09274777382880801,-0.3273804789180463,0.14188493126043022,False
9,full_chg_restriction_2_0,5,-0.021371976915550546,-0.172784876887553,0.13004092305645193,False
0,pre_cohort_log_restriction_2_0,1,-0.029553131765289085,-0.054235925105543814,-0.004870338425034353,True
2,pre_cohort_log_restriction_2_0,2,-0.047723750734895404,-0.07264635255114886,-0.022801148918641944,True
4,pre_cohort_log_restriction_2_0,3,-0.05149483211579311,-0.08510174460461785,-0.017887919626968368,True
6,pre_cohort_log_restriction_2_0,4,-0.05062191739376344,-0.06847029255176983,-0.032773542235757055,True
8,pre_cohort_log_restriction_2_0,5,-0.030342975474643777,-0.0596751088332131,-0.00101084211607445,True
