,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.06433065664290659,-0.08454826498663943,0.21320957827245263,False
3,cross,2,-0.006229016581338931,-0.08692440197894581,0.07446636881626796,False
6,cross,3,-0.014007555434652652,-0.07979116660343194,0.051776055734126636,False
9,cross,4,0.010770194846153639,-0.058768655406188315,0.0803090450984956,False
12,cross,5,-0.019052643210064748,-0.09531368823183492,0.05720840181170542,False
2,large_firm,1,-0.8583041574250823,-2.5626149453523452,0.8460066305021807,False
5,large_firm,2,0.03905891362436991,-0.8609576670959757,0.9390754943447154,False
8,large_firm,3,0.12835117129985077,-0.5919750135316966,0.848677356131398,False
11,large_firm,4,-0.13022130270613494,-0.8937755000042911,0.6333328945920211,False
14,large_firm,5,0.2196929500557025,-0.6274717776888137,1.0668576778002188,False
1,pre_cohort_log_restriction_2_0,1,-0.00961398187937081,-0.02878094211748955,0.00955297835874793,False
4,pre_cohort_log_restriction_2_0,2,-0.014626838882785036,-0.03583277746342481,0.006579099697854741,False
7,pre_cohort_log_restriction_2_0,3,-0.022103795860212338,-0.046874872673895965,0.0026672809534712925,False
10,pre_cohort_log_restriction_2_0,4,-0.015277244171704655,-0.04411581908519745,0.013561330741788136,False
13,pre_cohort_log_restriction_2_0,5,-0.008390918137264785,-0.04014274871892222,0.023360912444392645,False
