,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.10881939200058771,0.0032471977218657966,0.21439158627930963,True
3,cross,2,0.07021026184381156,-0.0336423969246861,0.1740629206123092,False
6,cross,3,0.09873807780752444,0.021527057068715827,0.17594909854633306,True
9,cross,4,0.11279174929976699,0.01510548655103916,0.2104780120484948,True
12,cross,5,0.13723199551898946,0.024617899582565494,0.24984609145541342,True
2,large_firm,1,-1.3836710551289946,-2.578664748147303,-0.1886773621106863,True
5,large_firm,2,-0.953118203298275,-2.13109617864416,0.22485977204760976,False
8,large_firm,3,-1.2830805447710523,-2.1408725717385533,-0.42528851780355104,True
11,large_firm,4,-1.474740471709492,-2.5698787470020603,-0.3796021964169236,True
14,large_firm,5,-1.7757307963885656,-3.035454664241076,-0.5160069285360549,True
1,pre_cohort_log_restriction_2_0,1,0.008276693253371709,-0.014541289033535134,0.031094675540278553,False
4,pre_cohort_log_restriction_2_0,2,0.024474755375110693,-0.010652947403316182,0.05960245815353757,False
7,pre_cohort_log_restriction_2_0,3,0.03554986136815591,-0.011806557362016391,0.0829062800983282,False
10,pre_cohort_log_restriction_2_0,4,0.029270833471570078,-0.03474629795685762,0.09328796489999777,False
13,pre_cohort_log_restriction_2_0,5,0.013494607123962079,-0.06293155968234197,0.08992077393026614,False
