,name,age,Coef,lower_ci,upper_ci,significance
0,curr_chg_restriction_2_0,1,-0.12609853853070518,-0.5000242574634396,0.24782718040202922,False
3,curr_chg_restriction_2_0,2,0.03480183247112462,-0.24047860624912348,0.3100822711913727,False
7,curr_chg_restriction_2_0,3,-0.004354807184445128,-0.2725866325249897,0.26387701815609943,False
11,curr_chg_restriction_2_0,4,-0.07071516053869978,-0.27284621702833756,0.131415895950938,False
15,curr_chg_restriction_2_0,5,-0.014668353997729955,-0.2686771608895113,0.2393404528940514,False
1,enter_chg_restriction_2_0,1,0.06374454689728806,-0.4236848324937218,0.5511739262882979,False
5,enter_chg_restriction_2_0,2,0.026135991326767926,-0.48393866041553324,0.5362106430690691,False
9,enter_chg_restriction_2_0,3,0.026567758326253348,-0.48821029949700834,0.541345816149515,False
13,enter_chg_restriction_2_0,4,0.019505300969163284,-0.5208200046887231,0.5598306066270496,False
17,enter_chg_restriction_2_0,5,0.04017728987192951,-0.48122273628690054,0.5615773160307596,False
4,life_chg_restriction_2_0,2,-0.047129387980913824,-0.462259522573421,0.3680007466115934,False
8,life_chg_restriction_2_0,3,-0.00256372288342664,-0.7598474146866618,0.7547199689198085,False
12,life_chg_restriction_2_0,4,-0.06661755366781515,-1.127011336914066,0.9937762295784357,False
16,life_chg_restriction_2_0,5,-0.04425966945165948,-1.295957939188186,1.207438600284867,False
2,pre_cohort_log_restriction_2_0,1,-0.05645976347228791,-0.5229009141192273,0.4099813871746515,False
6,pre_cohort_log_restriction_2_0,2,-0.09614703296571563,-0.5286396284355488,0.3363455625041175,False
10,pre_cohort_log_restriction_2_0,3,-0.14237687200574,-0.5878318160878384,0.3030780720763584,False
14,pre_cohort_log_restriction_2_0,4,-0.14455346469273309,-0.6055786318401554,0.31647170245468914,False
18,pre_cohort_log_restriction_2_0,5,-0.14394678969581262,-0.6146326562025527,0.3267390768109274,False
