,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.382664109802485,0.2491166661144655,0.5162115534905045,True
3,cross,2,0.4119943115157843,0.3138801436925287,0.5101084793390399,True
6,cross,3,0.42956775168952993,0.3278368402332197,0.5312986631458402,True
9,cross,4,0.4159586270588001,0.32036677774009054,0.5115504763775096,True
12,cross,5,0.4359660928612757,0.34763919645992536,0.524292989262626,True
2,large_firm,1,-5.53407113461479,-7.04307861626494,-4.025063652964641,True
5,large_firm,2,-5.631141388888731,-6.702036832734062,-4.560245945043401,True
8,large_firm,3,-5.668139177978033,-6.791573458873039,-4.544704897083028,True
11,large_firm,4,-5.447801677620814,-6.472958889889794,-4.4226444653518335,True
14,large_firm,5,-5.586386345936416,-6.51578955663375,-4.656983135239082,True
1,pre_cohort_log_restriction_2_0,1,-0.1712340611318042,-0.2901794297229838,-0.05228869254062464,True
4,pre_cohort_log_restriction_2_0,2,-0.16205189084204355,-0.28810860206772393,-0.03599517961636314,True
7,pre_cohort_log_restriction_2_0,3,-0.15167962866516535,-0.2956409732185319,-0.007718284111798812,True
10,pre_cohort_log_restriction_2_0,4,-0.151641639122144,-0.32249580746230067,0.01921252921801264,False
13,pre_cohort_log_restriction_2_0,5,-0.15384326255073347,-0.3581005641529518,0.05041403905148481,False
