,name,age,Coef,lower_ci,upper_ci,significance
0,curr_chg_restriction_2_0,1,-0.03782707336066213,-0.10108851616847271,0.025434369447148455,False
3,curr_chg_restriction_2_0,2,-0.028307943737488666,-0.07905245024054938,0.022436562765572054,False
7,curr_chg_restriction_2_0,3,-0.009917765477851068,-0.07046253031433013,0.050626999358627994,False
11,curr_chg_restriction_2_0,4,0.0008899972047980876,-0.045450490395303814,0.04723048480489998,False
15,curr_chg_restriction_2_0,5,-0.004697226794728904,-0.056687556806492616,0.0472931032170348,False
1,enter_chg_restriction_2_0,1,-0.004969376422435806,-0.07656173993873652,0.06662298709386491,False
5,enter_chg_restriction_2_0,2,-0.02755557827560366,-0.0894911717544342,0.03438001520322688,False
9,enter_chg_restriction_2_0,3,-0.004734398469167629,-0.035247340294784046,0.025778543356448788,False
13,enter_chg_restriction_2_0,4,0.043952913811887005,-0.034073070004411614,0.12197889762818562,False
17,enter_chg_restriction_2_0,5,-0.02318802153568696,-0.06083754495122014,0.014461501879846215,False
4,life_chg_restriction_2_0,2,-0.005789984158646213,-0.062494547240149384,0.05091457892285696,False
8,life_chg_restriction_2_0,3,-0.005371343008415236,-0.03238300491130148,0.021640318894471003,False
12,life_chg_restriction_2_0,4,-0.04219308375990225,-0.1371958944349711,0.052809726915166604,False
16,life_chg_restriction_2_0,5,-0.03080609681842732,-0.11030481255287326,0.04869261891601863,False
2,pre_cohort_log_restriction_2_0,1,0.013143116225072025,-0.04982478149977826,0.07611101394992231,False
6,pre_cohort_log_restriction_2_0,2,-0.0024791056565243697,-0.030533607328719205,0.02557539601567047,False
10,pre_cohort_log_restriction_2_0,3,-0.03120845341331067,-0.05274986001206029,-0.00966704681456105,True
14,pre_cohort_log_restriction_2_0,4,0.0016242952511987471,-0.025631392880478998,0.028879983382876492,False
18,pre_cohort_log_restriction_2_0,5,-0.0404374231296312,-0.06111641539902763,-0.019758430860234773,True
