,name,age,Coef,lower_ci,upper_ci,significance
0,curr_chg_restriction_2_0,1,553.1164701818288,-1136.464557908152,2242.6974982718098,False
3,curr_chg_restriction_2_0,2,-847.6873506474512,-2470.826933725448,775.4522324305453,False
7,curr_chg_restriction_2_0,3,-841.9537672297037,-2363.449165577419,679.5416311180119,False
11,curr_chg_restriction_2_0,4,109.31573823015175,-2271.2219428097433,2489.853419270047,False
15,curr_chg_restriction_2_0,5,-572.6191903607105,-1281.0289756529246,135.79059493150362,False
1,enter_chg_restriction_2_0,1,2523.6925662418016,181.52366474367182,4865.861467739931,True
5,enter_chg_restriction_2_0,2,-2400.0125786254944,-3825.610369973051,-974.4147872779379,True
9,enter_chg_restriction_2_0,3,352.21307631841955,-879.7377302660921,1584.1638829029312,False
13,enter_chg_restriction_2_0,4,1562.5448940799386,-965.648505846825,4090.738294006702,False
17,enter_chg_restriction_2_0,5,-825.5719808043319,-1846.3394930875334,195.19553147886938,False
4,life_chg_restriction_2_0,2,-491.7689159815496,-1948.5990917949116,965.0612598318125,False
8,life_chg_restriction_2_0,3,-1375.0134073944203,-2963.404662751068,213.37784796222763,False
12,life_chg_restriction_2_0,4,-11.202932408093163,-3225.524595312912,3203.1187304967257,False
16,life_chg_restriction_2_0,5,-2990.9318853561167,-6154.2613609803775,172.39759026814409,False
2,pre_cohort_log_restriction_2_0,1,778.030900454515,-1211.8635494145876,2767.9253503236177,False
6,pre_cohort_log_restriction_2_0,2,297.675595920308,-769.489533375654,1364.8407252162701,False
10,pre_cohort_log_restriction_2_0,3,-550.5663492646736,-1253.0318090739374,151.89911054459026,False
14,pre_cohort_log_restriction_2_0,4,172.43730377573138,-909.3509501149758,1254.2255576664386,False
18,pre_cohort_log_restriction_2_0,5,-989.1304356992339,-1682.0347946489924,-296.2260767494753,True
