,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,1803.7713274845812,658.9301286434804,2948.6125263256818,True
3,cross,2,1080.4860647921003,548.0335648049468,1612.9385647792537,True
6,cross,3,813.8125209529094,152.94929852482835,1474.6757433809903,True
9,cross,4,624.1181463030265,170.22258607863603,1078.013706527417,True
12,cross,5,169.35219323996932,-70.4749367999091,409.1793232798477,False
2,large_firm,1,-11793.062543965401,-24883.458890499725,1297.3338025689227,False
5,large_firm,2,-6754.813773126808,-12739.611139773839,-770.0164064797764,True
8,large_firm,3,-5470.315977290979,-13160.995743921332,2220.3637893393743,False
11,large_firm,4,-3689.0075730145204,-8847.774617239489,1469.7594712104487,False
14,large_firm,5,769.6236309347208,-1671.2140656357974,3210.4613275052393,False
1,pre_cohort_log_restriction_2_0,1,-4563.6529096812465,-8860.589007134637,-266.7168122278563,True
4,pre_cohort_log_restriction_2_0,2,-2291.693785693536,-5007.550975092948,424.1634037058757,False
7,pre_cohort_log_restriction_2_0,3,-2076.332364067338,-4396.8104415135585,244.1457133788831,False
10,pre_cohort_log_restriction_2_0,4,-1487.2233129349445,-3359.665422558204,385.2187966883155,False
13,pre_cohort_log_restriction_2_0,5,-1243.9166411250496,-2990.7023442382206,502.8690619881211,False
