,name,age,Coef,lower_ci,upper_ci,significance
1,full_chg_restriction_2_0,1,-0.028120902641213575,-0.0792942202964605,0.02305241501403334,False
3,full_chg_restriction_2_0,2,-0.08111416894396725,-0.24362573804122611,0.08139740015329161,False
5,full_chg_restriction_2_0,3,-0.1339905608726059,-0.44740808442223967,0.17942696267702785,False
7,full_chg_restriction_2_0,4,-0.43408144120295994,-1.0731753247379376,0.2050124423320177,False
9,full_chg_restriction_2_0,5,-0.5873627231403079,-1.3567255817260542,0.18200013544543836,False
0,pre_cohort_log_restriction_2_0,1,-0.02994629500035732,-0.05212049163219816,-0.007772098368516476,True
2,pre_cohort_log_restriction_2_0,2,-0.09820755622951848,-0.1531576583263986,-0.04325745413263834,True
4,pre_cohort_log_restriction_2_0,3,-0.1873540051945511,-0.25878168341526775,-0.11592632697383444,True
6,pre_cohort_log_restriction_2_0,4,-0.25370337751873495,-0.351910668074708,-0.1554960869627619,True
8,pre_cohort_log_restriction_2_0,5,-0.2765482049295944,-0.4032693071086816,-0.14982710275050726,True
