,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.0832004565679502,-0.007865927769236197,0.1742668409051366,False
3,cross,2,0.05013289849914197,-0.030424616758699397,0.13069041375698334,False
6,cross,3,0.01476593242741216,-0.0628341016114175,0.09236596646624182,False
9,cross,4,0.04027304726596747,-0.03577828121641143,0.11632437574834636,False
12,cross,5,0.038133393584159535,-0.03245182934360465,0.10871861651192372,False
2,large_firm,1,-1.2818063854509172,-2.305046032828752,-0.25856673807308206,True
5,large_firm,2,-0.8991175488462114,-1.799329839038784,0.0010947413463610056,False
8,large_firm,3,-0.5006142671334073,-1.3677759197855381,0.36654738551872357,False
11,large_firm,4,-0.7670933627832777,-1.6176866288000107,0.08349990323345524,False
14,large_firm,5,-0.740289722215634,-1.5249120317502243,0.044332587318956285,False
1,pre_cohort_log_restriction_2_0,1,-0.010178044656137943,-0.02925941035403699,0.008903321041761104,False
4,pre_cohort_log_restriction_2_0,2,-0.05331173607582913,-0.08538357757686282,-0.021239894574795436,True
7,pre_cohort_log_restriction_2_0,3,-0.09771033077639316,-0.1407469430345154,-0.05467371851827092,True
10,pre_cohort_log_restriction_2_0,4,-0.10782588931604332,-0.16690594340623163,-0.04874583522585502,True
13,pre_cohort_log_restriction_2_0,5,-0.08628797309119103,-0.1601099432835758,-0.012466002898806242,True
