,name,age,Coef,lower_ci,upper_ci,significance
0,curr_chg_restriction_2_0,1,-0.08472524923182578,-0.1998957563264947,0.03044525786284312,False
3,curr_chg_restriction_2_0,2,0.1317600402459668,0.011483621421591275,0.25203645907034233,True
7,curr_chg_restriction_2_0,3,0.14708971561350395,0.0031103168719248675,0.29106911435508304,True
11,curr_chg_restriction_2_0,4,0.08914263337027645,-0.062412719950876355,0.24069798669142925,False
15,curr_chg_restriction_2_0,5,0.031147819757812587,-0.15299702479450966,0.21529266431013483,False
1,enter_chg_restriction_2_0,1,0.02665485532686702,-0.13265525681867257,0.1859649674724066,False
5,enter_chg_restriction_2_0,2,0.07078355876675503,-0.22156995976884136,0.3631370773023514,False
9,enter_chg_restriction_2_0,3,0.276770026567648,0.0957602342578183,0.45777981887747765,True
13,enter_chg_restriction_2_0,4,0.23376585523679877,0.058497913093165654,0.4090337973804319,True
17,enter_chg_restriction_2_0,5,0.2271903313457117,0.015376943062905213,0.4390037196285182,True
4,life_chg_restriction_2_0,2,-0.06755931413121302,-0.24639420041824853,0.11127557215582248,False
8,life_chg_restriction_2_0,3,0.2521611716565587,-0.16458042927244093,0.6689027725855583,False
12,life_chg_restriction_2_0,4,0.5036423789824528,-0.035611972037073225,1.0428967300019787,False
16,life_chg_restriction_2_0,5,0.5565692095163177,-0.3246326366715233,1.4377710557041588,False
2,pre_cohort_log_restriction_2_0,1,-0.01404601257951093,-0.05652823864997246,0.0284362134909506,False
6,pre_cohort_log_restriction_2_0,2,0.023803646216311595,-0.04641029062188724,0.09401758305451043,False
10,pre_cohort_log_restriction_2_0,3,0.06843777853577496,-0.033830985587319284,0.1707065426588692,False
14,pre_cohort_log_restriction_2_0,4,0.07584663397498292,-0.05035556878699962,0.20204883673696547,False
18,pre_cohort_log_restriction_2_0,5,0.11645144953910952,-0.017188575772000586,0.25009147485021965,False
