,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.11562291081007312,0.030770189481463955,0.20047563213868227,True
3,cross,2,0.05941007198209512,-0.02281687897835062,0.14163702294254088,False
6,cross,3,0.08433092602266025,0.020935913478151172,0.1477259385671693,True
9,cross,4,0.09311568216454501,0.020177501084368277,0.16605386324472174,True
12,cross,5,0.11532172789655915,0.037096543916477404,0.1935469118766409,True
2,large_firm,1,-1.4867793853344644,-2.441687869427798,-0.5318709012411306,True
5,large_firm,2,-0.8514473056052924,-1.7781495351384307,0.07525492392784594,False
8,large_firm,3,-1.134303961104826,-1.8339514398823944,-0.4346564823272576,True
11,large_firm,4,-1.2511953218951568,-2.06505297781032,-0.4373376659799938,True
14,large_firm,5,-1.5185987460949446,-2.38806311131268,-0.6491343808772094,True
1,pre_cohort_log_restriction_2_0,1,0.008180625958797573,-0.014514474224526543,0.03087572614212169,False
4,pre_cohort_log_restriction_2_0,2,0.024136527552776472,-0.010798300028074585,0.05907135513362753,False
7,pre_cohort_log_restriction_2_0,3,0.03564042811056032,-0.011447896728461866,0.08272875294958251,False
10,pre_cohort_log_restriction_2_0,4,0.029182564380051314,-0.03431973035718161,0.09268485911728425,False
13,pre_cohort_log_restriction_2_0,5,0.013661521967358002,-0.062172051367713956,0.08949509530242997,False
