,name,age,Coef,lower_ci,upper_ci,significance
0,curr_chg_restriction_2_0,1,-0.020518808150660928,-0.06003439899596219,0.018996782694640335,False
3,curr_chg_restriction_2_0,2,-0.040149692089330585,-0.09050123619436037,0.01020185201569921,False
7,curr_chg_restriction_2_0,3,-0.003162775914390173,-0.04438275742748761,0.03805720559870726,False
11,curr_chg_restriction_2_0,4,0.01637413638166735,-0.030407709260343096,0.0631559820236778,False
15,curr_chg_restriction_2_0,5,-0.013032793241873232,-0.06154888039711108,0.03548329391336462,False
1,enter_chg_restriction_2_0,1,-0.03679683572739694,-0.06110144488159113,-0.012492226573202751,True
5,enter_chg_restriction_2_0,2,-0.02525113358699373,-0.048979761245608,-0.0015225059283794536,True
9,enter_chg_restriction_2_0,3,-0.00018880385540962034,-0.03488082376834045,0.03450321605752121,False
13,enter_chg_restriction_2_0,4,0.027835195397020535,0.0009319593944004147,0.05473843139964066,True
17,enter_chg_restriction_2_0,5,-0.002025657932177933,-0.028762002394735295,0.02471068653037943,False
4,life_chg_restriction_2_0,2,0.010951398914538994,-0.016683805315782712,0.038586603144860704,False
8,life_chg_restriction_2_0,3,-0.043113655147192245,-0.07614780922763226,-0.01007950106675224,True
12,life_chg_restriction_2_0,4,0.006180245972064706,-0.09122901740086721,0.10358950934499662,False
16,life_chg_restriction_2_0,5,-0.07253213278823904,-0.150430694959031,0.005366429382552912,False
2,pre_cohort_log_restriction_2_0,1,-0.00979117415636219,-0.04958246430822351,0.030000115995499132,False
6,pre_cohort_log_restriction_2_0,2,-0.013673352144341374,-0.0309790237551833,0.00363231946650055,False
10,pre_cohort_log_restriction_2_0,3,0.006317473446211682,-0.01630706337482272,0.028942010267246087,False
14,pre_cohort_log_restriction_2_0,4,0.0058634237454419655,-0.02203342105644312,0.03376026854732705,False
18,pre_cohort_log_restriction_2_0,5,3.0238814964296006e-05,-0.02834406709886577,0.028404544728794362,False
