,name,age,Coef,lower_ci,upper_ci,significance
1,full_chg_restriction_2_0,1,-0.02938566356796095,-0.05509189078572514,-0.0036794363501967547,True
3,full_chg_restriction_2_0,2,-0.03463533443637999,-0.09006099219204156,0.020790323319281566,False
5,full_chg_restriction_2_0,3,-0.03407997994992055,-0.0994660081196086,0.03130604821976749,False
7,full_chg_restriction_2_0,4,0.04677507239859797,-0.028793800261245846,0.12234394505844179,False
9,full_chg_restriction_2_0,5,-0.07085899733597559,-0.15582985118510626,0.01411185651315508,False
0,pre_cohort_log_restriction_2_0,1,-0.009325213659932078,-0.049810165074863855,0.031159737754999695,False
2,pre_cohort_log_restriction_2_0,2,-0.014843436547490376,-0.03135748631483422,0.0016706132198534684,False
4,pre_cohort_log_restriction_2_0,3,0.006211462832420641,-0.016562655572319063,0.028985581237160343,False
6,pre_cohort_log_restriction_2_0,4,0.004331754737849174,-0.02228562160841083,0.03094913108410918,False
8,pre_cohort_log_restriction_2_0,5,-0.0008158336261208498,-0.0281454791184116,0.026513811866169905,False
