,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.00991385535335613,-0.007786682861259947,0.027614393567972205,False
3,cross,2,0.006776808146901583,-0.011148972151404469,0.024702588445207636,False
6,cross,3,0.011893469590688762,-0.0012799108607169166,0.02506685004209444,False
9,cross,4,0.008157927984071583,-0.004068769162399651,0.020384625130542816,False
12,cross,5,0.0032829150268137725,-0.007570987245518928,0.014136817299146473,False
2,large_firm,1,-0.37302782199679774,-0.564295535369397,-0.18176010862419845,True
5,large_firm,2,-0.2244321096680709,-0.417172295668025,-0.031691923668116795,True
8,large_firm,3,-0.26612597074825495,-0.40438733459043963,-0.12786460690607027,True
11,large_firm,4,-0.20773016163219019,-0.3336386612595572,-0.08182166200482313,True
14,large_firm,5,-0.14736377908643014,-0.2583750925017325,-0.03635246567112774,True
1,pre_cohort_log_restriction_2_0,1,-0.011863441993817721,-0.03650574405364264,0.012778860066007192,False
4,pre_cohort_log_restriction_2_0,2,-0.020451353141148917,-0.03506767132195637,-0.0058350349603414585,True
7,pre_cohort_log_restriction_2_0,3,-0.004272924764131481,-0.017786769994002603,0.009240920465739643,False
10,pre_cohort_log_restriction_2_0,4,0.006270787964349267,-0.00788923834277185,0.020430814271470386,False
13,pre_cohort_log_restriction_2_0,5,0.009242581913859989,-0.006699425912306543,0.02518458974002652,False
