,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.5567280288108551,-1.2799302037796454,2.3933862614013557,False
3,cross,2,0.20252696049162958,-1.7214996903209163,2.1265536113041756,False
6,cross,3,0.5191427382522259,-1.00553381150306,2.0438192880075117,False
9,cross,4,1.6492386453872103,0.08541812080356914,3.2130591699708515,True
12,cross,5,0.8885333979030348,-0.49593046496625903,2.2729972607723283,False
2,large_firm,1,-32.78411894008459,-52.35539940726102,-13.212838472908157,True
5,large_firm,2,-16.84576004714052,-37.420001796537115,3.728481702256076,False
8,large_firm,3,-19.506266251696776,-35.59024873029222,-3.422283773101338,True
11,large_firm,4,-28.883822945910065,-45.081108514459245,-12.686537377360889,True
14,large_firm,5,-20.791943781958533,-35.299787884671,-6.284099679246069,True
1,pre_cohort_log_restriction_2_0,1,-0.6556552788202045,-3.259018772184027,1.947708214543618,False
4,pre_cohort_log_restriction_2_0,2,-2.3403753527814266,-3.8798684292330328,-0.8008822763298205,True
7,pre_cohort_log_restriction_2_0,3,-0.8335853539769515,-2.3757125004654704,0.7085417925115673,False
10,pre_cohort_log_restriction_2_0,4,-0.36996998811482407,-2.20697642997948,1.4670364537498322,False
13,pre_cohort_log_restriction_2_0,5,-0.5651253984287136,-2.830639667958653,1.7003888711012256,False
