                        PanelOLS Estimation Summary                        
Dep. Variable:   ,log_avg_emp_chg_cohort,  R-squared:           ,0.0596    
Estimator:       ,PanelOLS              ,  R-squared (Between): ,-1.6604   
No. Observations:,3041                  ,  R-squared (Within):  ,0.1327    
Date:            ,Wed, Aug 10 2022      ,  R-squared (Overall): ,0.1072    
Time:            ,16:25:12              ,  Log-likelihood       ,6029.0    
Cov. Estimator:  ,Robust                ,                       ,          
                 ,                      ,  F-statistic:         ,18.931    
Entities:        ,17                    ,  P-value              ,0.0000    
Avg Obs:         ,178.88                ,  Distribution:        ,F(18,2975)
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,272.00                ,  F-statistic (robust):,9.4876    
                 ,                      ,  P-value              ,0.0000    
Time periods:    ,38                    ,  Distribution:        ,F(18,2975)
Avg Obs:         ,80.026                ,                       ,          
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,96.000                ,                       ,          
                 ,                      ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.0653   ,0.0903   ,0.7226 ,0.4700 ,-0.1118 ,0.2423  
L_0_entry_rate_whole          ,0.4587   ,0.1513   ,3.0317 ,0.0025 ,0.1620  ,0.7553  
L_0_log_gdp                   ,0.0786   ,0.0228   ,3.4464 ,0.0006 ,0.0339  ,0.1233  
L_1_entry_rate_whole          ,-0.0794  ,0.1828   ,-0.4346,0.6639 ,-0.4379 ,0.2790  
L_1_log_gdp                   ,0.0334   ,0.0285   ,1.1735 ,0.2407 ,-0.0224 ,0.0893  
L_2_entry_rate_whole          ,-0.0206  ,0.1948   ,-0.1060,0.9156 ,-0.4027 ,0.3614  
L_2_log_gdp                   ,-0.0691  ,0.0276   ,-2.5017,0.0124 ,-0.1233 ,-0.0149 
L_3_entry_rate_whole          ,-0.1170  ,0.2239   ,-0.5227,0.6012 ,-0.5560 ,0.3219  
L_3_log_gdp                   ,-0.0299  ,0.0315   ,-0.9509,0.3417 ,-0.0917 ,0.0318  
L_4_entry_rate_whole          ,-0.4502  ,0.2029   ,-2.2187,0.0266 ,-0.8480 ,-0.0523 
L_4_log_gdp                   ,-0.0878  ,0.0362   ,-2.4218,0.0155 ,-0.1588 ,-0.0167 
L_5_entry_rate_whole          ,0.0621   ,0.1396   ,0.4450 ,0.6564 ,-0.2117 ,0.3359  
L_5_log_gdp                   ,0.0629   ,0.0246   ,2.5601 ,0.0105 ,0.0147  ,0.1112  
cross                         ,-0.0141  ,0.0221   ,-0.6387,0.5231 ,-0.0574 ,0.0292  
curr_chg_restriction_2_0      ,-0.0253  ,0.0175   ,-1.4467,0.1481 ,-0.0596 ,0.0090  
enter_chg_restriction_2_0     ,-0.0201  ,0.0127   ,-1.5805,0.1141 ,-0.0450 ,0.0048  
large_firm                    ,0.1983   ,0.2408   ,0.8234 ,0.4104 ,-0.2739 ,0.6705  
life_chg_restriction_2_0      ,-0.0799  ,0.0287   ,-2.7880,0.0053 ,-0.1361 ,-0.0237 
pre_cohort_log_restriction_2_0,0.0012   ,0.0068   ,0.1792 ,0.8578 ,-0.0120 ,0.0144  

F-test for Poolability: 8.4897
P-value: 0.0000
Distribution: F(47,2975)

Included effects: Entity, Time
