                        PanelOLS Estimation Summary                        
Dep. Variable:   ,log_avg_emp_chg_cohort,  R-squared:           ,0.0263    
Estimator:       ,PanelOLS              ,  R-squared (Between): ,-11.391   
No. Observations:,7770                  ,  R-squared (Within):  ,0.0350    
Date:            ,Wed, Aug 10 2022      ,  R-squared (Overall): ,-0.3814   
Time:            ,16:25:10              ,  Log-likelihood       ,-341.33   
Cov. Estimator:  ,Clustered             ,                       ,          
                 ,                      ,  F-statistic:         ,11.241    
Entities:        ,262                   ,  P-value              ,0.0000    
Avg Obs:         ,29.656                ,  Distribution:        ,F(18,7480)
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,33.000                ,  F-statistic (robust):,-2.577e+14
                 ,                      ,  P-value              ,1.0000    
Time periods:    ,38                    ,  Distribution:        ,F(18,7480)
Avg Obs:         ,204.47                ,                       ,          
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,238.00                ,                       ,          
                 ,                      ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,2.2251   ,0.5126   ,4.3404 ,0.0000 ,1.2201  ,3.2300  
L_0_entry_rate_whole          ,0.4647   ,0.4113   ,1.1297 ,0.2586 ,-0.3416 ,1.2709  
L_0_log_gdp                   ,-0.1447  ,0.1554   ,-0.9311,0.3518 ,-0.4494 ,0.1600  
L_1_entry_rate_whole          ,-0.1207  ,0.2560   ,-0.4713,0.6374 ,-0.6225 ,0.3812  
L_1_log_gdp                   ,0.4904   ,0.2983   ,1.6439 ,0.1002 ,-0.0944 ,1.0751  
L_2_entry_rate_whole          ,0.6435   ,0.1906   ,3.3765 ,0.0007 ,0.2699  ,1.0171  
L_2_log_gdp                   ,0.0925   ,0.1914   ,0.4831 ,0.6291 ,-0.2828 ,0.4677  
L_3_entry_rate_whole          ,-0.3552  ,0.3873   ,-0.9173,0.3590 ,-1.1144 ,0.4039  
L_3_log_gdp                   ,-0.3774  ,0.1067   ,-3.5371,0.0004 ,-0.5865 ,-0.1682 
L_4_entry_rate_whole          ,-0.2518  ,0.4713   ,-0.5343,0.5932 ,-1.1756 ,0.6720  
L_4_log_gdp                   ,0.2330   ,0.1122   ,2.0756 ,0.0380 ,0.0129  ,0.4530  
L_5_entry_rate_whole          ,-1.0147  ,0.2497   ,-4.0640,0.0000 ,-1.5041 ,-0.5252 
L_5_log_gdp                   ,-0.1503  ,0.1700   ,-0.8843,0.3766 ,-0.4835 ,0.1829  
L_6_entry_rate_whole          ,-0.2527  ,0.2935   ,-0.8609,0.3893 ,-0.8280 ,0.3227  
L_6_log_gdp                   ,-0.1773  ,0.1799   ,-0.9857,0.3243 ,-0.5299 ,0.1753  
curr_chg_restriction_2_0      ,0.0145   ,0.1170   ,0.1236 ,0.9016 ,-0.2148 ,0.2438  
enter_chg_restriction_2_0     ,-0.1184  ,0.0564   ,-2.0988,0.0359 ,-0.2290 ,-0.0078 
life_chg_restriction_2_0      ,-0.0270  ,0.2791   ,-0.0967,0.9230 ,-0.5740 ,0.5201  
pre_cohort_log_restriction_2_0,-0.1863  ,0.0496   ,-3.7548,0.0002 ,-0.2836 ,-0.0890 

F-test for Poolability: 4.6863
P-value: 0.0000
Distribution: F(271,7480)

Included effects: Entity, Time
