                        PanelOLS Estimation Summary                        
Dep. Variable:   ,log_avg_emp_chg_cohort,  R-squared:           ,0.0117    
Estimator:       ,PanelOLS              ,  R-squared (Between): ,-3.2352   
No. Observations:,8761                  ,  R-squared (Within):  ,0.0341    
Date:            ,Wed, Aug 10 2022      ,  R-squared (Overall): ,-0.0204   
Time:            ,16:25:00              ,  Log-likelihood       ,434.12    
Cov. Estimator:  ,Clustered             ,                       ,          
                 ,                      ,  F-statistic:         ,8.6221    
Entities:        ,262                   ,  P-value              ,0.0000    
Avg Obs:         ,33.439                ,  Distribution:        ,F(12,8470)
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,37.000                ,  F-statistic (robust):,25.100    
                 ,                      ,  P-value              ,0.0000    
Time periods:    ,38                    ,  Distribution:        ,F(12,8470)
Avg Obs:         ,230.55                ,                       ,          
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,239.00                ,                       ,          
                 ,                      ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.6961   ,0.3612   ,1.9269 ,0.0540 ,-0.0120 ,1.4042  
L_0_entry_rate_whole          ,0.2869   ,0.3546   ,0.8093 ,0.4184 ,-0.4081 ,0.9820  
L_0_log_gdp                   ,0.2251   ,0.1462   ,1.5391 ,0.1238 ,-0.0616 ,0.5117  
L_1_entry_rate_whole          ,0.1483   ,0.4763   ,0.3114 ,0.7555 ,-0.7853 ,1.0819  
L_1_log_gdp                   ,0.1569   ,0.1551   ,1.0118 ,0.3117 ,-0.1471 ,0.4609  
L_2_entry_rate_whole          ,-0.4119  ,0.4451   ,-0.9255,0.3547 ,-1.2844 ,0.4605  
L_2_log_gdp                   ,-0.0225  ,0.1319   ,-0.1709,0.8643 ,-0.2811 ,0.2360  
L_3_entry_rate_whole          ,-0.3673  ,0.5233   ,-0.7020,0.4827 ,-1.3932 ,0.6585  
L_3_log_gdp                   ,-0.4025  ,0.2135   ,-1.8852,0.0594 ,-0.8211 ,0.0160  
L_4_entry_rate_whole          ,-0.1232  ,0.3571   ,-0.3451,0.7301 ,-0.8232 ,0.5768  
L_4_log_gdp                   ,0.0391   ,0.1185   ,0.3302 ,0.7413 ,-0.1932 ,0.2714  
full_chg_restriction_2_0      ,-0.1223  ,0.1499   ,-0.8161,0.4145 ,-0.4162 ,0.1715  
pre_cohort_log_restriction_2_0,-0.0632  ,0.0341   ,-1.8527,0.0640 ,-0.1300 ,0.0037  

F-test for Poolability: 4.1373
P-value: 0.0000
Distribution: F(278,8470)

Included effects: Entity, Time
