                        PanelOLS Estimation Summary                        
Dep. Variable:   ,log_avg_emp_chg_cohort,  R-squared:           ,0.0596    
Estimator:       ,PanelOLS              ,  R-squared (Between): ,-1.8244   
No. Observations:,3041                  ,  R-squared (Within):  ,0.1326    
Date:            ,Wed, Aug 10 2022      ,  R-squared (Overall): ,0.1048    
Time:            ,16:25:04              ,  Log-likelihood       ,6028.9    
Cov. Estimator:  ,Robust                ,                       ,          
                 ,                      ,  F-statistic:         ,21.296    
Entities:        ,17                    ,  P-value              ,0.0000    
Avg Obs:         ,178.88                ,  Distribution:        ,F(16,2977)
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,272.00                ,  F-statistic (robust):,10.665    
                 ,                      ,  P-value              ,0.0000    
Time periods:    ,38                    ,  Distribution:        ,F(16,2977)
Avg Obs:         ,80.026                ,                       ,          
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,96.000                ,                       ,          
                 ,                      ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.0726   ,0.0894   ,0.8112 ,0.4173 ,-0.1028 ,0.2479  
L_0_entry_rate_whole          ,0.4598   ,0.1514   ,3.0381 ,0.0024 ,0.1631  ,0.7566  
L_0_log_gdp                   ,0.0794   ,0.0228   ,3.4831 ,0.0005 ,0.0347  ,0.1241  
L_1_entry_rate_whole          ,-0.0857  ,0.1815   ,-0.4720,0.6369 ,-0.4415 ,0.2702  
L_1_log_gdp                   ,0.0320   ,0.0284   ,1.1276 ,0.2596 ,-0.0237 ,0.0878  
L_2_entry_rate_whole          ,-0.0211  ,0.1938   ,-0.1090,0.9132 ,-0.4010 ,0.3588  
L_2_log_gdp                   ,-0.0683  ,0.0276   ,-2.4759,0.0133 ,-0.1225 ,-0.0142 
L_3_entry_rate_whole          ,-0.1167  ,0.2258   ,-0.5168,0.6053 ,-0.5593 ,0.3260  
L_3_log_gdp                   ,-0.0299  ,0.0315   ,-0.9482,0.3431 ,-0.0917 ,0.0319  
L_4_entry_rate_whole          ,-0.4490  ,0.2028   ,-2.2137,0.0269 ,-0.8466 ,-0.0513 
L_4_log_gdp                   ,-0.0881  ,0.0363   ,-2.4277,0.0153 ,-0.1593 ,-0.0169 
L_5_entry_rate_whole          ,0.0650   ,0.1391   ,0.4674 ,0.6402 ,-0.2077 ,0.3377  
L_5_log_gdp                   ,0.0627   ,0.0246   ,2.5474 ,0.0109 ,0.0144  ,0.1110  
cross                         ,-0.0141  ,0.0221   ,-0.6381,0.5235 ,-0.0574 ,0.0292  
full_chg_restriction_2_0      ,-0.0986  ,0.0305   ,-3.2275,0.0013 ,-0.1585 ,-0.0387 
large_firm                    ,0.1981   ,0.2407   ,0.8227 ,0.4107 ,-0.2740 ,0.6701  
pre_cohort_log_restriction_2_0,0.0007   ,0.0067   ,0.1064 ,0.9153 ,-0.0125 ,0.0139  

F-test for Poolability: 8.5439
P-value: 0.0000
Distribution: F(47,2977)

Included effects: Entity, Time
