                        PanelOLS Estimation Summary                        
Dep. Variable:   ,log_avg_emp_chg_cohort,  R-squared:           ,0.0123    
Estimator:       ,PanelOLS              ,  R-squared (Between): ,-4.2261   
No. Observations:,8761                  ,  R-squared (Within):  ,0.0323    
Date:            ,Wed, Aug 10 2022      ,  R-squared (Overall): ,-0.0387   
Time:            ,16:25:01              ,  Log-likelihood       ,436.67    
Cov. Estimator:  ,Clustered             ,                       ,          
                 ,                      ,  F-statistic:         ,7.2276    
Entities:        ,262                   ,  P-value              ,0.0000    
Avg Obs:         ,33.439                ,  Distribution:        ,F(15,8467)
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,37.000                ,  F-statistic (robust):,8.598e+12 
                 ,                      ,  P-value              ,0.0000    
Time periods:    ,38                    ,  Distribution:        ,F(15,8467)
Avg Obs:         ,230.55                ,                       ,          
Min Obs:         ,0.0000                ,                       ,          
Max Obs:         ,239.00                ,                       ,          
                 ,                      ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.8201   ,0.3601   ,2.2772 ,0.0228 ,0.1141  ,1.5260  
L_0_chg_log_restriction_2_0   ,0.0336   ,0.0665   ,0.5050 ,0.6136 ,-0.0968 ,0.1639  
L_0_entry_rate_whole          ,0.2783   ,0.3592   ,0.7748 ,0.4385 ,-0.4258 ,0.9823  
L_0_log_gdp                   ,0.2167   ,0.1423   ,1.5234 ,0.1277 ,-0.0622 ,0.4956  
L_1_chg_log_restriction_2_0   ,0.0104   ,0.0789   ,0.1317 ,0.8952 ,-0.1442 ,0.1650  
L_1_entry_rate_whole          ,0.1390   ,0.4704   ,0.2955 ,0.7676 ,-0.7831 ,1.0611  
L_1_log_gdp                   ,0.1599   ,0.1541   ,1.0374 ,0.2996 ,-0.1423 ,0.4620  
L_2_chg_log_restriction_2_0   ,-0.0778  ,0.0642   ,-1.2120,0.2255 ,-0.2037 ,0.0480  
L_2_entry_rate_whole          ,-0.4066  ,0.4343   ,-0.9362,0.3492 ,-1.2580 ,0.4448  
L_2_log_gdp                   ,-0.0172  ,0.1358   ,-0.1265,0.8993 ,-0.2834 ,0.2490  
L_3_chg_log_restriction_2_0   ,-0.1043  ,0.0849   ,-1.2276,0.2196 ,-0.2707 ,0.0622  
L_3_entry_rate_whole          ,-0.3547  ,0.5129   ,-0.6915,0.4892 ,-1.3601 ,0.6507  
L_3_log_gdp                   ,-0.4040  ,0.2237   ,-1.8059,0.0710 ,-0.8426 ,0.0345  
L_4_entry_rate_whole          ,-0.1266  ,0.3583   ,-0.3532,0.7239 ,-0.8290 ,0.5758  
L_4_log_gdp                   ,0.0340   ,0.1204   ,0.2826 ,0.7775 ,-0.2020 ,0.2701  
pre_cohort_log_restriction_2_0,-0.0710  ,0.0344   ,-2.0672,0.0387 ,-0.1384 ,-0.0037 

F-test for Poolability: 4.0736
P-value: 0.0000
Distribution: F(278,8467)

Included effects: Entity, Time
