                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_avg_emp_chg ,  R-squared:           ,0.0048    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.8796   
No. Observations:,8731            ,  R-squared (Within):  ,0.0065    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0009    
Time:            ,15:46:38        ,  Log-likelihood       ,980.13    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,2.7107    
Entities:        ,262             ,  P-value              ,0.0004    
Avg Obs:         ,33.324          ,  Distribution:        ,F(15,8438)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,37.000          ,  F-statistic (robust):,1.083e+14 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(15,8438)
Avg Obs:         ,229.76          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.2005   ,0.1992   ,1.0063 ,0.3143 ,-0.1900 ,0.5910  
L_0_chg_log_restriction_2_0   ,0.0907   ,0.0812   ,1.1178 ,0.2637 ,-0.0684 ,0.2499  
L_0_entry_rate_whole          ,-0.0055  ,0.1856   ,-0.0297,0.9763 ,-0.3693 ,0.3583  
L_0_log_gdp                   ,0.2797   ,0.1934   ,1.4462 ,0.1482 ,-0.0994 ,0.6589  
L_1_chg_log_restriction_2_0   ,0.0302   ,0.0748   ,0.4039 ,0.6863 ,-0.1165 ,0.1769  
L_1_entry_rate_whole          ,-0.2516  ,0.2597   ,-0.9690,0.3326 ,-0.7606 ,0.2574  
L_1_log_gdp                   ,-0.2634  ,0.2977   ,-0.8847,0.3764 ,-0.8470 ,0.3202  
L_2_chg_log_restriction_2_0   ,-0.1629  ,0.0637   ,-2.5591,0.0105 ,-0.2877 ,-0.0381 
L_2_entry_rate_whole          ,0.2082   ,0.1874   ,1.1114 ,0.2664 ,-0.1590 ,0.5755  
L_2_log_gdp                   ,0.0705   ,0.2280   ,0.3093 ,0.7571 ,-0.3763 ,0.5174  
L_3_chg_log_restriction_2_0   ,0.0272   ,0.0854   ,0.3182 ,0.7503 ,-0.1403 ,0.1947  
L_3_entry_rate_whole          ,-0.2434  ,0.5266   ,-0.4622,0.6440 ,-1.2757 ,0.7889  
L_3_log_gdp                   ,-0.1875  ,0.1572   ,-1.1930,0.2329 ,-0.4957 ,0.1206  
L_4_entry_rate_whole          ,0.0755   ,0.4317   ,0.1748 ,0.8612 ,-0.7708 ,0.9217  
L_4_log_gdp                   ,0.1005   ,0.0841   ,1.1956 ,0.2319 ,-0.0643 ,0.2654  
pre_cohort_log_restriction_2_0,-0.0180  ,0.0166   ,-1.0820,0.2793 ,-0.0505 ,0.0146  

F-test for Poolability: 2.7000
P-value: 0.0000
Distribution: F(277,8438)

Included effects: Entity, Time
