                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_avg_emp_chg ,  R-squared:           ,0.0443    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-11.682   
No. Observations:,2876            ,  R-squared (Within):  ,0.0777    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.0425   
Time:            ,14:28:34        ,  Log-likelihood       ,5610.7    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,18.879    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,169.18          ,  Distribution:        ,F(20,2810)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,259.00          ,  F-statistic (robust):,4.3638    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(20,2810)
Avg Obs:         ,84.588          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.1979  ,0.1056   ,-1.8737,0.0611 ,-0.4049 ,0.0092  
L_0_chg_restriction_2_0       ,0.0115   ,0.0154   ,0.7516 ,0.4524 ,-0.0186 ,0.0417  
L_0_entry_rate_whole          ,0.3023   ,0.1562   ,1.9353 ,0.0531 ,-0.0040 ,0.6086  
L_0_log_gdp                   ,0.0881   ,0.0273   ,3.2213 ,0.0013 ,0.0345  ,0.1416  
L_1_chg_restriction_2_0       ,-0.0007  ,0.0185   ,-0.0404,0.9678 ,-0.0369 ,0.0354  
L_1_entry_rate_whole          ,-0.0083  ,0.1852   ,-0.0448,0.9643 ,-0.3714 ,0.3548  
L_1_log_gdp                   ,0.0319   ,0.0350   ,0.9100 ,0.3629 ,-0.0368 ,0.1006  
L_2_chg_restriction_2_0       ,0.0085   ,0.0167   ,0.5097 ,0.6103 ,-0.0242 ,0.0412  
L_2_entry_rate_whole          ,0.0956   ,0.1633   ,0.5853 ,0.5584 ,-0.2246 ,0.4157  
L_2_log_gdp                   ,-0.0721  ,0.0297   ,-2.4238,0.0154 ,-0.1304 ,-0.0138 
L_3_chg_restriction_2_0       ,-0.0135  ,0.0157   ,-0.8629,0.3882 ,-0.0442 ,0.0172  
L_3_entry_rate_whole          ,0.0614   ,0.1738   ,0.3532 ,0.7240 ,-0.2794 ,0.4022  
L_3_log_gdp                   ,0.0132   ,0.0334   ,0.3949 ,0.6930 ,-0.0523 ,0.0787  
L_4_chg_restriction_2_0       ,-0.0113  ,0.0170   ,-0.6658,0.5056 ,-0.0447 ,0.0220  
L_4_entry_rate_whole          ,0.0687   ,0.1621   ,0.4237 ,0.6718 ,-0.2491 ,0.3864  
L_4_log_gdp                   ,-0.0313  ,0.0393   ,-0.7970,0.4255 ,-0.1084 ,0.0458  
L_5_entry_rate_whole          ,-0.2778  ,0.1195   ,-2.3257,0.0201 ,-0.5121 ,-0.0436 
L_5_log_gdp                   ,-0.0006  ,0.0272   ,-0.0206,0.9836 ,-0.0540 ,0.0528  
cross                         ,0.0468   ,0.0262   ,1.7878 ,0.0739 ,-0.0045 ,0.0980  
large_firm                    ,-0.5781  ,0.2838   ,-2.0373,0.0417 ,-1.1346 ,-0.0217 
pre_cohort_log_restriction_2_0,-0.0010  ,0.0081   ,-0.1261,0.8997 ,-0.0168 ,0.0148  

F-test for Poolability: 8.3434
P-value: 0.0000
Distribution: F(45,2810)

Included effects: Entity, Time
