                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_avg_emp     ,  R-squared:           ,0.0335    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.2323   
No. Observations:,2977            ,  R-squared (Within):  ,0.0253    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.0133    
Time:            ,14:28:20        ,  Log-likelihood       ,-3965.8   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,32.313    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,175.12          ,  Distribution:        ,F(16,2913)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,265.00          ,  F-statistic (robust):,601.55    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,35              ,  Distribution:        ,F(16,2913)
Avg Obs:         ,85.057          ,                       ,          
Min Obs:         ,76.000          ,                       ,          
Max Obs:         ,97.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.6276   ,3.1928   ,0.1966 ,0.8442 ,-5.6327 ,6.8880  
L_0_entry_rate_whole          ,2.5643   ,4.1317   ,0.6207 ,0.5349 ,-5.5370 ,10.666  
L_0_log_gdp                   ,0.1368   ,0.6857   ,0.1995 ,0.8419 ,-1.2078 ,1.4814  
L_1_entry_rate_whole          ,-0.1011  ,5.1469   ,-0.0196,0.9843 ,-10.193 ,9.9908  
L_1_log_gdp                   ,-0.1808  ,0.9033   ,-0.2002,0.8414 ,-1.9521 ,1.5904  
L_2_entry_rate_whole          ,0.2997   ,5.0939   ,0.0588 ,0.9531 ,-9.6883 ,10.288  
L_2_log_gdp                   ,-0.0025  ,0.9250   ,-0.0027,0.9979 ,-1.8162 ,1.8113  
L_3_entry_rate_whole          ,-0.2529  ,4.8295   ,-0.0524,0.9582 ,-9.7225 ,9.2167  
L_3_log_gdp                   ,0.0413   ,0.9285   ,0.0445 ,0.9645 ,-1.7793 ,1.8620  
L_4_entry_rate_whole          ,0.1587   ,3.6794   ,0.0431 ,0.9656 ,-7.0559 ,7.3732  
L_4_log_gdp                   ,0.1701   ,0.6989   ,0.2434 ,0.8077 ,-1.2003 ,1.5404  
cross                         ,0.1866   ,0.0486   ,3.8407 ,0.0001 ,0.0913  ,0.2818  
curr_chg_restriction_2_0      ,0.0079   ,0.5830   ,0.0136 ,0.9891 ,-1.1353 ,1.1512  
enter_chg_restriction_2_0     ,-0.0005  ,0.5320   ,-0.0009,0.9993 ,-1.0435 ,1.0426  
large_firm                    ,2.9153   ,0.5263   ,5.5393 ,0.0000 ,1.8834  ,3.9473  
life_chg_restriction_2_0      ,0.0973   ,0.8507   ,0.1143 ,0.9090 ,-1.5707 ,1.7652  
pre_cohort_log_restriction_2_0,-0.0473  ,0.2457   ,-0.1925,0.8474 ,-0.5291 ,0.4345  

F-test for Poolability: 2.9830
P-value: 0.0000
Distribution: F(47,2913)

Included effects: Entity, Time
