                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_avg_emp     ,  R-squared:           ,0.0382    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.2339   
No. Observations:,2876            ,  R-squared (Within):  ,0.0318    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.0196    
Time:            ,14:28:12        ,  Log-likelihood       ,-3904.5   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,38.246    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,169.18          ,  Distribution:        ,F(16,2814)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,259.00          ,  F-statistic (robust):,570.56    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(16,2814)
Avg Obs:         ,84.588          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.7181   ,3.6514   ,0.1967 ,0.8441 ,-6.4415 ,7.8777  
L_0_entry_rate_whole          ,2.7095   ,4.4041   ,0.6152 ,0.5385 ,-5.9262 ,11.345  
L_0_log_gdp                   ,0.1531   ,0.7359   ,0.2080 ,0.8352 ,-1.2899 ,1.5961  
L_1_entry_rate_whole          ,0.0745   ,5.4220   ,0.0137 ,0.9890 ,-10.557 ,10.706  
L_1_log_gdp                   ,-0.2107  ,0.9661   ,-0.2181,0.8274 ,-2.1051 ,1.6837  
L_2_entry_rate_whole          ,0.1542   ,5.2837   ,0.0292 ,0.9767 ,-10.206 ,10.514  
L_2_log_gdp                   ,0.0371   ,0.9969   ,0.0372 ,0.9703 ,-1.9176 ,1.9917  
L_3_entry_rate_whole          ,-0.2200  ,5.2490   ,-0.0419,0.9666 ,-10.512 ,10.072  
L_3_log_gdp                   ,-0.0121  ,1.0096   ,-0.0120,0.9904 ,-1.9918 ,1.9675  
L_4_entry_rate_whole          ,-0.2990  ,5.0205   ,-0.0596,0.9525 ,-10.143 ,9.5452  
L_4_log_gdp                   ,0.1426   ,1.0399   ,0.1371 ,0.8909 ,-1.8964 ,2.1816  
L_5_entry_rate_whole          ,0.4255   ,3.8434   ,0.1107 ,0.9118 ,-7.1106 ,7.9617  
L_5_log_gdp                   ,0.0545   ,0.7660   ,0.0711 ,0.9433 ,-1.4476 ,1.5565  
cross                         ,0.1954   ,0.0485   ,4.0249 ,0.0001 ,0.1002  ,0.2905  
full_chg_restriction_2_0      ,0.0487   ,1.3357   ,0.0364 ,0.9709 ,-2.5704 ,2.6678  
large_firm                    ,2.7644   ,0.5234   ,5.2818 ,0.0000 ,1.7382  ,3.7907  
pre_cohort_log_restriction_2_0,-0.0528  ,0.2792   ,-0.1891,0.8500 ,-0.6002 ,0.4946  

F-test for Poolability: 2.8797
P-value: 0.0000
Distribution: F(45,2814)

Included effects: Entity, Time
