                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_avg_emp     ,  R-squared:           ,0.0291    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.3822   
No. Observations:,3182            ,  R-squared (Within):  ,0.0189    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.0002   
Time:            ,16:24:46        ,  Log-likelihood       ,-4136.9   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,33.795    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,187.18          ,  Distribution:        ,F(14,3117)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,277.00          ,  F-statistic (robust):,782.17    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(14,3117)
Avg Obs:         ,83.737          ,                       ,          
Min Obs:         ,74.000          ,                       ,          
Max Obs:         ,99.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.1389  ,2.6537   ,-0.0523,0.9583 ,-5.3421 ,5.0644  
L_0_chg_log_restriction_2_0   ,0.0144   ,0.4703   ,0.0307 ,0.9755 ,-0.9078 ,0.9367  
L_0_entry_rate_whole          ,2.1046   ,3.7752   ,0.5575 ,0.5772 ,-5.2975 ,9.5067  
L_0_log_gdp                   ,0.0018   ,0.6330   ,0.0028 ,0.9978 ,-1.2394 ,1.2429  
L_1_chg_log_restriction_2_0   ,-0.0440  ,0.4342   ,-0.1014,0.9193 ,-0.8953 ,0.8073  
L_1_entry_rate_whole          ,0.1164   ,4.6988   ,0.0248 ,0.9802 ,-9.0966 ,9.3294  
L_1_log_gdp                   ,-0.0061  ,0.8225   ,-0.0074,0.9941 ,-1.6188 ,1.6066  
L_2_chg_log_restriction_2_0   ,-0.0564  ,0.4327   ,-0.1303,0.8964 ,-0.9047 ,0.7920  
L_2_entry_rate_whole          ,0.5697   ,4.4755   ,0.1273 ,0.8987 ,-8.2057 ,9.3450  
L_2_log_gdp                   ,-0.0045  ,0.8360   ,-0.0054,0.9957 ,-1.6436 ,1.6346  
L_3_entry_rate_whole          ,0.3949   ,3.2580   ,0.1212 ,0.9035 ,-5.9932 ,6.7830  
L_3_log_gdp                   ,0.1928   ,0.6118   ,0.3152 ,0.7527 ,-1.0068 ,1.3925  
cross                         ,0.1264   ,0.0455   ,2.7800 ,0.0055 ,0.0372  ,0.2155  
large_firm                    ,3.6656   ,0.4910   ,7.4650 ,0.0000 ,2.7028  ,4.6284  
pre_cohort_log_restriction_2_0,0.0020   ,0.1994   ,0.0102 ,0.9919 ,-0.3889 ,0.3930  

F-test for Poolability: 3.1750
P-value: 0.0000
Distribution: F(50,3117)

Included effects: Entity, Time
