                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_avg_emp     ,  R-squared:           ,0.0719    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.1696   
No. Observations:,8275            ,  R-squared (Within):  ,-0.8274   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.2721   
Time:            ,16:24:43        ,  Log-likelihood       ,1648.4    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,2.402e+04 
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,31.584          ,  Distribution:        ,F(18,7981)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,35.000          ,  F-statistic (robust):,5.756e+13 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(18,7981)
Avg Obs:         ,217.76          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.7929  ,1.7854   ,-0.4441,0.6570 ,-4.2928 ,2.7070  
L_0_chg_log_restriction_2_0   ,0.1492   ,0.0827   ,1.8048 ,0.0711 ,-0.0129 ,0.3113  
L_0_entry_rate_whole          ,1.1183   ,0.4673   ,2.3931 ,0.0167 ,0.2023  ,2.0344  
L_0_log_gdp                   ,0.2097   ,0.1093   ,1.9191 ,0.0550 ,-0.0045 ,0.4239  
L_1_chg_log_restriction_2_0   ,0.2602   ,0.1085   ,2.3975 ,0.0165 ,0.0474  ,0.4729  
L_1_entry_rate_whole          ,0.1098   ,0.2368   ,0.4636 ,0.6429 ,-0.3544 ,0.5740  
L_1_log_gdp                   ,0.2119   ,0.1116   ,1.8982 ,0.0577 ,-0.0069 ,0.4308  
L_2_chg_log_restriction_2_0   ,0.2803   ,0.1291   ,2.1705 ,0.0300 ,0.0272  ,0.5334  
L_2_entry_rate_whole          ,0.2489   ,0.1998   ,1.2458 ,0.2129 ,-0.1427 ,0.6405  
L_2_log_gdp                   ,-0.0658  ,0.0981   ,-0.6705,0.5025 ,-0.2581 ,0.1265  
L_3_chg_log_restriction_2_0   ,0.0086   ,0.1218   ,0.0710 ,0.9434 ,-0.2301 ,0.2474  
L_3_entry_rate_whole          ,0.1568   ,0.1330   ,1.1787 ,0.2386 ,-0.1040 ,0.4176  
L_3_log_gdp                   ,0.0673   ,0.0877   ,0.7673 ,0.4429 ,-0.1046 ,0.2391  
L_4_chg_log_restriction_2_0   ,-0.0097  ,0.0845   ,-0.1151,0.9084 ,-0.1755 ,0.1560  
L_4_entry_rate_whole          ,0.1816   ,0.4039   ,0.4497 ,0.6529 ,-0.6101 ,0.9733  
L_4_log_gdp                   ,-0.1579  ,0.0835   ,-1.8896,0.0588 ,-0.3216 ,0.0059  
L_5_entry_rate_whole          ,-0.3112  ,0.3005   ,-1.0357,0.3004 ,-0.9002 ,0.2778  
L_5_log_gdp                   ,0.1092   ,0.1502   ,0.7271 ,0.4672 ,-0.1852 ,0.4036  
pre_cohort_log_restriction_2_0,0.0314   ,0.1226   ,0.2563 ,0.7977 ,-0.2089 ,0.2717  

F-test for Poolability: 193.47
P-value: 0.0000
Distribution: F(275,7981)

Included effects: Entity, Time
