                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_avg_emp     ,  R-squared:           ,0.0382    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.2348   
No. Observations:,2876            ,  R-squared (Within):  ,0.0320    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.0198    
Time:            ,14:28:14        ,  Log-likelihood       ,-3904.5   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,30.557    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,169.18          ,  Distribution:        ,F(20,2810)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,259.00          ,  F-statistic (robust):,455.59    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(20,2810)
Avg Obs:         ,84.588          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.7626   ,3.6799   ,0.2072 ,0.8359 ,-6.4531 ,7.9782  
L_0_chg_restriction_2_0       ,0.0223   ,0.6146   ,0.0363 ,0.9710 ,-1.1827 ,1.2274  
L_0_entry_rate_whole          ,2.7312   ,4.4128   ,0.6189 ,0.5360 ,-5.9214 ,11.384  
L_0_log_gdp                   ,0.1677   ,0.7333   ,0.2287 ,0.8191 ,-1.2702 ,1.6056  
L_1_chg_restriction_2_0       ,0.0525   ,0.6179   ,0.0850 ,0.9323 ,-1.1590 ,1.2640  
L_1_entry_rate_whole          ,0.0135   ,5.4276   ,0.0025 ,0.9980 ,-10.629 ,10.656  
L_1_log_gdp                   ,-0.2338  ,0.9684   ,-0.2414,0.8092 ,-2.1326 ,1.6650  
L_2_chg_restriction_2_0       ,0.0238   ,0.5867   ,0.0406 ,0.9676 ,-1.1265 ,1.1742  
L_2_entry_rate_whole          ,0.1711   ,5.3166   ,0.0322 ,0.9743 ,-10.254 ,10.596  
L_2_log_gdp                   ,0.0502   ,1.0033   ,0.0500 ,0.9601 ,-1.9170 ,2.0174  
L_3_chg_restriction_2_0       ,0.0276   ,0.5909   ,0.0468 ,0.9627 ,-1.1310 ,1.1863  
L_3_entry_rate_whole          ,-0.1823  ,5.2718   ,-0.0346,0.9724 ,-10.519 ,10.155  
L_3_log_gdp                   ,-0.0136  ,1.0109   ,-0.0134,0.9893 ,-1.9959 ,1.9687  
L_4_chg_restriction_2_0       ,-0.0647  ,0.5845   ,-0.1107,0.9118 ,-1.2108 ,1.0813  
L_4_entry_rate_whole          ,-0.3544  ,5.0300   ,-0.0705,0.9438 ,-10.217 ,9.5085  
L_4_log_gdp                   ,0.1292   ,1.0413   ,0.1240 ,0.9013 ,-1.9126 ,2.1710  
L_5_entry_rate_whole          ,0.4926   ,3.8529   ,0.1278 ,0.8983 ,-7.0623 ,8.0474  
L_5_log_gdp                   ,0.0641   ,0.7661   ,0.0837 ,0.9333 ,-1.4381 ,1.5663  
cross                         ,0.1953   ,0.0487   ,4.0105 ,0.0001 ,0.0998  ,0.2907  
large_firm                    ,2.7656   ,0.5251   ,5.2674 ,0.0000 ,1.7361  ,3.7952  
pre_cohort_log_restriction_2_0,-0.0570  ,0.2810   ,-0.2028,0.8393 ,-0.6080 ,0.4941  

F-test for Poolability: 2.8754
P-value: 0.0000
Distribution: F(45,2810)

Included effects: Entity, Time
