                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,log_avg_emp     ,  R-squared:         ,0.9087   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.9055   
No. Observations:,8079            ,  F-statistic:       ,4.621e+06
Date:            ,Wed, Aug 17 2022,  P-value (F-stat)   ,0.0000   
Time:            ,19:47:08        ,  Distribution:      ,chi2(276)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.2111]      ,17.416   ,2.2483   ,7.7462 ,0.0000 ,13.009  ,21.823  
C(sector)[T.2121]      ,19.138   ,2.2581   ,8.4752 ,0.0000 ,14.712  ,23.564  
C(sector)[T.2122]      ,19.416   ,2.2500   ,8.6297 ,0.0000 ,15.007  ,23.826  
C(sector)[T.2123]      ,17.926   ,2.2461   ,7.9810 ,0.0000 ,13.524  ,22.328  
C(sector)[T.2131]      ,17.834   ,2.2440   ,7.9474 ,0.0000 ,13.436  ,22.232  
C(sector)[T.2211]      ,20.754   ,2.3170   ,8.9574 ,0.0000 ,16.213  ,25.295  
C(sector)[T.2212]      ,20.175   ,2.3120   ,8.7264 ,0.0000 ,15.644  ,24.707  
C(sector)[T.2213]      ,17.206   ,2.3135   ,7.4371 ,0.0000 ,12.671  ,21.740  
C(sector)[T.3111]      ,22.135   ,2.8855   ,7.6711 ,0.0000 ,16.480  ,27.791  
C(sector)[T.3112]      ,23.261   ,2.8869   ,8.0573 ,0.0000 ,17.603  ,28.919  
C(sector)[T.3113]      ,22.374   ,2.8870   ,7.7499 ,0.0000 ,16.716  ,28.033  
C(sector)[T.3114]      ,23.298   ,2.8876   ,8.0684 ,0.0000 ,17.639  ,28.958  
C(sector)[T.3115]      ,23.159   ,2.8857   ,8.0255 ,0.0000 ,17.503  ,28.815  
C(sector)[T.3116]      ,23.358   ,2.8875   ,8.0895 ,0.0000 ,17.699  ,29.018  
C(sector)[T.3117]      ,22.639   ,2.8863   ,7.8435 ,0.0000 ,16.982  ,28.296  
C(sector)[T.3118]      ,21.898   ,2.8872   ,7.5844 ,0.0000 ,16.239  ,27.556  
C(sector)[T.3119]      ,22.577   ,2.8880   ,7.8175 ,0.0000 ,16.916  ,28.237  
C(sector)[T.3121]      ,22.153   ,2.8872   ,7.6728 ,0.0000 ,16.494  ,27.811  
C(sector)[T.3122]      ,23.884   ,2.8863   ,8.2749 ,0.0000 ,18.227  ,29.541  
C(sector)[T.3131]      ,23.668   ,2.8869   ,8.1985 ,0.0000 ,18.010  ,29.326  
C(sector)[T.3132]      ,23.104   ,2.8868   ,8.0033 ,0.0000 ,17.446  ,28.762  
C(sector)[T.3133]      ,22.235   ,2.8881   ,7.6990 ,0.0000 ,16.575  ,27.896  
C(sector)[T.3141]      ,22.046   ,2.8851   ,7.6412 ,0.0000 ,16.391  ,27.700  
C(sector)[T.3149]      ,21.490   ,2.8884   ,7.4400 ,0.0000 ,15.829  ,27.151  
C(sector)[T.3151]      ,22.925   ,2.8833   ,7.9509 ,0.0000 ,17.274  ,28.576  
C(sector)[T.3152]      ,22.083   ,2.8864   ,7.6505 ,0.0000 ,16.425  ,27.740  
C(sector)[T.3159]      ,21.767   ,2.8853   ,7.5440 ,0.0000 ,16.112  ,27.422  
C(sector)[T.3161]      ,22.056   ,2.8862   ,7.6417 ,0.0000 ,16.399  ,27.712  
C(sector)[T.3162]      ,23.116   ,2.8866   ,8.0080 ,0.0000 ,17.459  ,28.774  
C(sector)[T.3169]      ,21.635   ,2.8858   ,7.4969 ,0.0000 ,15.979  ,27.291  
C(sector)[T.3211]      ,21.867   ,2.8863   ,7.5761 ,0.0000 ,16.210  ,27.524  
C(sector)[T.3212]      ,22.731   ,2.8884   ,7.8697 ,0.0000 ,17.070  ,28.392  
C(sector)[T.3219]      ,21.883   ,2.8876   ,7.5786 ,0.0000 ,16.224  ,27.543  
C(sector)[T.3221]      ,24.879   ,2.8884   ,8.6132 ,0.0000 ,19.218  ,30.540  
C(sector)[T.3222]      ,23.108   ,2.8870   ,8.0041 ,0.0000 ,17.449  ,28.766  
C(sector)[T.3231]      ,21.453   ,2.8867   ,7.4318 ,0.0000 ,15.795  ,27.111  
C(sector)[T.3241]      ,23.154   ,2.8861   ,8.0226 ,0.0000 ,17.497  ,28.811  
C(sector)[T.3251]      ,23.451   ,2.8881   ,8.1202 ,0.0000 ,17.791  ,29.112  
C(sector)[T.3252]      ,23.363   ,2.8911   ,8.0808 ,0.0000 ,17.696  ,29.029  
C(sector)[T.3253]      ,22.404   ,2.8874   ,7.7593 ,0.0000 ,16.745  ,28.063  
C(sector)[T.3254]      ,23.501   ,2.8884   ,8.1363 ,0.0000 ,17.840  ,29.162  
C(sector)[T.3255]      ,22.246   ,2.8870   ,7.7056 ,0.0000 ,16.587  ,27.904  
C(sector)[T.3256]      ,22.448   ,2.8872   ,7.7749 ,0.0000 ,16.789  ,28.107  
C(sector)[T.3259]      ,22.431   ,2.8877   ,7.7678 ,0.0000 ,16.771  ,28.091  
C(sector)[T.3261]      ,22.719   ,2.8881   ,7.8665 ,0.0000 ,17.058  ,28.379  
C(sector)[T.3262]      ,22.956   ,2.8869   ,7.9518 ,0.0000 ,17.298  ,28.614  
C(sector)[T.3271]      ,22.286   ,2.8874   ,7.7183 ,0.0000 ,16.627  ,27.945  
C(sector)[T.3272]      ,22.678   ,2.8877   ,7.8533 ,0.0000 ,17.018  ,28.338  
C(sector)[T.3273]      ,21.990   ,2.8868   ,7.6175 ,0.0000 ,16.332  ,27.649  
C(sector)[T.3274]      ,22.792   ,2.8872   ,7.8940 ,0.0000 ,17.133  ,28.450  
C(sector)[T.3279]      ,21.897   ,2.8886   ,7.5805 ,0.0000 ,16.236  ,27.559  
C(sector)[T.3311]      ,24.294   ,2.8894   ,8.4078 ,0.0000 ,18.630  ,29.957  
C(sector)[T.3312]      ,23.086   ,2.8874   ,7.9956 ,0.0000 ,17.427  ,28.745  
C(sector)[T.3313]      ,23.655   ,2.8876   ,8.1919 ,0.0000 ,17.995  ,29.314  
C(sector)[T.3314]      ,22.985   ,2.8877   ,7.9595 ,0.0000 ,17.325  ,28.644  
C(sector)[T.3315]      ,22.869   ,2.8864   ,7.9232 ,0.0000 ,17.212  ,28.527  
