                      PanelOLS Estimation Summary                      
Dep. Variable:   ,log_emp_chg_cohort,  R-squared:           ,0.0788    
Estimator:       ,PanelOLS          ,  R-squared (Between): ,-5.0170   
No. Observations:,7770              ,  R-squared (Within):  ,0.0962    
Date:            ,Wed, Aug 10 2022  ,  R-squared (Overall): ,-0.3926   
Time:            ,16:25:48          ,  Log-likelihood       ,-1446.5   
Cov. Estimator:  ,Clustered         ,                       ,          
                 ,                  ,  F-statistic:         ,40.987    
Entities:        ,262               ,  P-value              ,0.0000    
Avg Obs:         ,29.656            ,  Distribution:        ,F(18,7480)
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,33.000            ,  F-statistic (robust):,-2.135e+15
                 ,                  ,  P-value              ,1.0000    
Time periods:    ,38                ,  Distribution:        ,F(18,7480)
Avg Obs:         ,204.47            ,                       ,          
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,238.00            ,                       ,          
                 ,                  ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,2.2241   ,0.6600   ,3.3698 ,0.0008 ,0.9303  ,3.5180  
L_0_entry_rate_whole          ,0.0954   ,0.5092   ,0.1873 ,0.8514 ,-0.9029 ,1.0936  
L_0_log_gdp                   ,0.0686   ,0.1252   ,0.5480 ,0.5837 ,-0.1769 ,0.3141  
L_1_entry_rate_whole          ,0.4169   ,0.3460   ,1.2051 ,0.2282 ,-0.2613 ,1.0952  
L_1_log_gdp                   ,0.3745   ,0.2907   ,1.2880 ,0.1978 ,-0.1955 ,0.9444  
L_2_entry_rate_whole          ,0.8855   ,0.2339   ,3.7856 ,0.0002 ,0.4270  ,1.3440  
L_2_log_gdp                   ,0.0100   ,0.1910   ,0.0522 ,0.9584 ,-0.3644 ,0.3843  
L_3_entry_rate_whole          ,0.4793   ,0.4288   ,1.1176 ,0.2638 ,-0.3614 ,1.3199  
L_3_log_gdp                   ,-0.4165  ,0.1865   ,-2.2328,0.0256 ,-0.7822 ,-0.0508 
L_4_entry_rate_whole          ,0.2615   ,0.5701   ,0.4587 ,0.6465 ,-0.8560 ,1.3790  
L_4_log_gdp                   ,0.3700   ,0.1105   ,3.3489 ,0.0008 ,0.1534  ,0.5865  
L_5_entry_rate_whole          ,2.7277   ,0.3789   ,7.1984 ,0.0000 ,1.9849  ,3.4705  
L_5_log_gdp                   ,0.0477   ,0.1542   ,0.3092 ,0.7572 ,-0.2545 ,0.3499  
L_6_entry_rate_whole          ,-0.8939  ,0.2439   ,-3.6650,0.0002 ,-1.3720 ,-0.4158 
L_6_log_gdp                   ,-0.4125  ,0.2110   ,-1.9548,0.0506 ,-0.8261 ,0.0012  
curr_chg_restriction_2_0      ,-0.1849  ,0.1096   ,-1.6867,0.0917 ,-0.3999 ,0.0300  
enter_chg_restriction_2_0     ,-0.0997  ,0.1409   ,-0.7080,0.4790 ,-0.3758 ,0.1764  
life_chg_restriction_2_0      ,-0.4947  ,0.3538   ,-1.3983,0.1621 ,-1.1883 ,0.1988  
pre_cohort_log_restriction_2_0,-0.2863  ,0.0666   ,-4.2962,0.0000 ,-0.4170 ,-0.1557 

F-test for Poolability: 7.0167
P-value: 0.0000
Distribution: F(271,7480)

Included effects: Entity, Time
