                      PanelOLS Estimation Summary                      
Dep. Variable:   ,log_emp_chg_cohort,  R-squared:           ,0.0874    
Estimator:       ,PanelOLS          ,  R-squared (Between): ,-6.2497   
No. Observations:,8761              ,  R-squared (Within):  ,0.0999    
Date:            ,Wed, Aug 10 2022  ,  R-squared (Overall): ,-0.1837   
Time:            ,16:25:38          ,  Log-likelihood       ,-772.83   
Cov. Estimator:  ,Clustered         ,                       ,          
                 ,                  ,  F-statistic:         ,74.903    
Entities:        ,262               ,  P-value              ,0.0000    
Avg Obs:         ,33.439            ,  Distribution:        ,F(12,8470)
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,37.000            ,  F-statistic (robust):,103.68    
                 ,                  ,  P-value              ,0.0000    
Time periods:    ,38                ,  Distribution:        ,F(12,8470)
Avg Obs:         ,230.55            ,                       ,          
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,239.00            ,                       ,          
                 ,                  ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,1.2977   ,0.4674   ,2.7764 ,0.0055 ,0.3815  ,2.2139  
L_0_entry_rate_whole          ,0.1639   ,0.4236   ,0.3869 ,0.6988 ,-0.6664 ,0.9942  
L_0_log_gdp                   ,0.1654   ,0.2040   ,0.8105 ,0.4177 ,-0.2346 ,0.5653  
L_1_entry_rate_whole          ,0.9132   ,0.4682   ,1.9503 ,0.0512 ,-0.0046 ,1.8311  
L_1_log_gdp                   ,0.4153   ,0.1910   ,2.1743 ,0.0297 ,0.0409  ,0.7897  
L_2_entry_rate_whole          ,0.3506   ,0.5531   ,0.6339 ,0.5262 ,-0.7336 ,1.4348  
L_2_log_gdp                   ,0.0822   ,0.1306   ,0.6289 ,0.5294 ,-0.1739 ,0.3383  
L_3_entry_rate_whole          ,3.2733   ,0.5801   ,5.6424 ,0.0000 ,2.1361  ,4.4105  
L_3_log_gdp                   ,-0.2812  ,0.2375   ,-1.1839,0.2365 ,-0.7467 ,0.1844  
L_4_entry_rate_whole          ,-2.0440  ,0.4114   ,-4.9689,0.0000 ,-2.8504 ,-1.2376 
L_4_log_gdp                   ,-0.3285  ,0.1268   ,-2.5907,0.0096 ,-0.5770 ,-0.0799 
full_chg_restriction_2_0      ,-0.1604  ,0.1654   ,-0.9697,0.3322 ,-0.4847 ,0.1639  
pre_cohort_log_restriction_2_0,-0.1931  ,0.0387   ,-4.9941,0.0000 ,-0.2689 ,-0.1173 

F-test for Poolability: 6.6992
P-value: 0.0000
Distribution: F(278,8470)

Included effects: Entity, Time
