                      PanelOLS Estimation Summary                      
Dep. Variable:   ,log_emp_chg_cohort,  R-squared:           ,0.1822    
Estimator:       ,PanelOLS          ,  R-squared (Between): ,-5.6152   
No. Observations:,3041              ,  R-squared (Within):  ,-0.2003   
Date:            ,Wed, Aug 10 2022  ,  R-squared (Overall): ,-0.6592   
Time:            ,16:25:43          ,  Log-likelihood       ,2344.3    
Cov. Estimator:  ,Robust            ,                       ,          
                 ,                  ,  F-statistic:         ,36.956    
Entities:        ,17                ,  P-value              ,0.0000    
Avg Obs:         ,178.88            ,  Distribution:        ,F(20,2973)
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,272.00            ,  F-statistic (robust):,15.417    
                 ,                  ,  P-value              ,0.0000    
Time periods:    ,38                ,  Distribution:        ,F(20,2973)
Avg Obs:         ,80.026            ,                       ,          
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,96.000            ,                       ,          
                 ,                  ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.9168   ,0.4360   ,2.1029 ,0.0356 ,0.0620  ,1.7717  
L_0_chg_log_restriction_2_0   ,-0.1475  ,0.0824   ,-1.7900,0.0735 ,-0.3090 ,0.0141  
L_0_entry_rate_whole          ,0.9561   ,0.5979   ,1.5990 ,0.1099 ,-0.2163 ,2.1285  
L_0_log_gdp                   ,-0.0644  ,0.1041   ,-0.6183,0.5364 ,-0.2685 ,0.1398  
L_1_chg_log_restriction_2_0   ,-0.1985  ,0.0856   ,-2.3200,0.0204 ,-0.3663 ,-0.0307 
L_1_entry_rate_whole          ,-0.4212  ,0.8056   ,-0.5228,0.6011 ,-2.0007 ,1.1583  
L_1_log_gdp                   ,0.1318   ,0.1716   ,0.7679 ,0.4426 ,-0.2047 ,0.4682  
L_2_chg_log_restriction_2_0   ,-0.0905  ,0.0874   ,-1.0355,0.3005 ,-0.2620 ,0.0809  
L_2_entry_rate_whole          ,0.8948   ,0.7745   ,1.1554 ,0.2480 ,-0.6238 ,2.4133  
L_2_log_gdp                   ,0.0771   ,0.1629   ,0.4735 ,0.6359 ,-0.2422 ,0.3965  
L_3_chg_log_restriction_2_0   ,-0.0423  ,0.0859   ,-0.4929,0.6221 ,-0.2108 ,0.1261  
L_3_entry_rate_whole          ,-0.5626  ,0.7014   ,-0.8021,0.4226 ,-1.9380 ,0.8127  
L_3_log_gdp                   ,0.0371   ,0.1495   ,0.2483 ,0.8039 ,-0.2560 ,0.3303  
L_4_chg_log_restriction_2_0   ,0.0514   ,0.0649   ,0.7913 ,0.4288 ,-0.0760 ,0.1787  
L_4_entry_rate_whole          ,5.3942   ,0.7196   ,7.4957 ,0.0000 ,3.9832  ,6.8052  
L_4_log_gdp                   ,0.0952   ,0.1403   ,0.6781 ,0.4978 ,-0.1800 ,0.3703  
L_5_entry_rate_whole          ,-2.1174  ,0.5592   ,-3.7863,0.0002 ,-3.2139 ,-1.0209 
L_5_log_gdp                   ,-0.3222  ,0.0946   ,-3.4062,0.0007 ,-0.5077 ,-0.1367 
cross                         ,0.0395   ,0.0635   ,0.6227 ,0.5336 ,-0.0850 ,0.1640  
large_firm                    ,-0.5791  ,0.7265   ,-0.7970,0.4255 ,-2.0036 ,0.8455  
pre_cohort_log_restriction_2_0,-0.1069  ,0.0304   ,-3.5127,0.0005 ,-0.1666 ,-0.0472 

F-test for Poolability: 25.134
P-value: 0.0000
Distribution: F(47,2973)

Included effects: Entity, Time
