                      PanelOLS Estimation Summary                      
Dep. Variable:   ,log_emp_chg_cohort,  R-squared:           ,0.0790    
Estimator:       ,PanelOLS          ,  R-squared (Between): ,-5.0874   
No. Observations:,7770              ,  R-squared (Within):  ,0.0943    
Date:            ,Wed, Aug 10 2022  ,  R-squared (Overall): ,-0.4011   
Time:            ,16:25:40          ,  Log-likelihood       ,-1445.8   
Cov. Estimator:  ,Clustered         ,                       ,          
                 ,                  ,  F-statistic:         ,35.187    
Entities:        ,262               ,  P-value              ,0.0000    
Avg Obs:         ,29.656            ,  Distribution:        ,F(21,7477)
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,33.000            ,  F-statistic (robust):,2.724e+14 
                 ,                  ,  P-value              ,0.0000    
Time periods:    ,38                ,  Distribution:        ,F(21,7477)
Avg Obs:         ,204.47            ,                       ,          
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,238.00            ,                       ,          
                 ,                  ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,2.2522   ,0.6399   ,3.5197 ,0.0004 ,0.9979  ,3.5066  
L_0_chg_log_restriction_2_0   ,-0.1818  ,0.1130   ,-1.6089,0.1077 ,-0.4034 ,0.0397  
L_0_entry_rate_whole          ,0.1011   ,0.5149   ,0.1963 ,0.8444 ,-0.9083 ,1.1105  
L_0_log_gdp                   ,0.0717   ,0.1224   ,0.5858 ,0.5580 ,-0.1682 ,0.3115  
L_1_chg_log_restriction_2_0   ,-0.0511  ,0.1046   ,-0.4891,0.6248 ,-0.2561 ,0.1538  
L_1_entry_rate_whole          ,0.4155   ,0.3468   ,1.1982 ,0.2309 ,-0.2643 ,1.0954  
L_1_log_gdp                   ,0.3716   ,0.2969   ,1.2518 ,0.2107 ,-0.2103 ,0.9535  
L_2_chg_log_restriction_2_0   ,-0.1408  ,0.1176   ,-1.1969,0.2314 ,-0.3713 ,0.0898  
L_2_entry_rate_whole          ,0.8799   ,0.2356   ,3.7348 ,0.0002 ,0.4181  ,1.3417  
L_2_log_gdp                   ,0.0083   ,0.1902   ,0.0439 ,0.9650 ,-0.3646 ,0.3813  
L_3_chg_log_restriction_2_0   ,-0.1497  ,0.1255   ,-1.1929,0.2329 ,-0.3957 ,0.0963  
L_3_entry_rate_whole          ,0.4873   ,0.4247   ,1.1476 ,0.2512 ,-0.3451 ,1.3198  
L_3_log_gdp                   ,-0.4121  ,0.1791   ,-2.3009,0.0214 ,-0.7632 ,-0.0610 
L_4_chg_log_restriction_2_0   ,-0.1636  ,0.1018   ,-1.6074,0.1080 ,-0.3631 ,0.0359  
L_4_entry_rate_whole          ,0.2537   ,0.5579   ,0.4548 ,0.6493 ,-0.8399 ,1.3473  
L_4_log_gdp                   ,0.3599   ,0.1045   ,3.4450 ,0.0006 ,0.1551  ,0.5647  
L_5_chg_log_restriction_2_0   ,-0.1077  ,0.1467   ,-0.7345,0.4626 ,-0.3952 ,0.1798  
L_5_entry_rate_whole          ,2.7326   ,0.3887   ,7.0311 ,0.0000 ,1.9708  ,3.4945  
L_5_log_gdp                   ,0.0544   ,0.1575   ,0.3452 ,0.7300 ,-0.2543 ,0.3631  
L_6_entry_rate_whole          ,-0.8952  ,0.2448   ,-3.6567,0.0003 ,-1.3751 ,-0.4153 
L_6_log_gdp                   ,-0.4137  ,0.2116   ,-1.9553,0.0506 ,-0.8284 ,0.0011  
pre_cohort_log_restriction_2_0,-0.2881  ,0.0648   ,-4.4458,0.0000 ,-0.4151 ,-0.1610 

F-test for Poolability: 6.9259
P-value: 0.0000
Distribution: F(271,7477)

Included effects: Entity, Time
