                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp_chg     ,  R-squared:           ,0.0261    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.9557   
No. Observations:,7742            ,  R-squared (Within):  ,0.0310    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0234    
Time:            ,15:47:26        ,  Log-likelihood       ,-397.54   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,11.325    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,29.550          ,  Distribution:        ,F(18,7453)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,33.000          ,  F-statistic (robust):,3.95e+14  
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(18,7453)
Avg Obs:         ,203.74          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,237.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.2502   ,0.1773   ,1.4111 ,0.1583 ,-0.0974 ,0.5978  
L_0_entry_rate_whole          ,0.4291   ,0.2904   ,1.4776 ,0.1396 ,-0.1402 ,0.9984  
L_0_log_gdp                   ,0.1121   ,0.1453   ,0.7711 ,0.4407 ,-0.1728 ,0.3970  
L_1_entry_rate_whole          ,0.2161   ,0.5235   ,0.4127 ,0.6798 ,-0.8101 ,1.2422  
L_1_log_gdp                   ,0.1840   ,0.3375   ,0.5453 ,0.5856 ,-0.4776 ,0.8456  
L_2_entry_rate_whole          ,-0.0763  ,0.4332   ,-0.1761,0.8602 ,-0.9255 ,0.7729  
L_2_log_gdp                   ,-0.2568  ,0.3381   ,-0.7596,0.4475 ,-0.9196 ,0.4059  
L_3_entry_rate_whole          ,0.1193   ,0.3336   ,0.3577 ,0.7206 ,-0.5346 ,0.7732  
L_3_log_gdp                   ,-0.1988  ,0.1525   ,-1.3030,0.1926 ,-0.4978 ,0.1003  
L_4_entry_rate_whole          ,0.1998   ,0.2440   ,0.8190 ,0.4128 ,-0.2784 ,0.6780  
L_4_log_gdp                   ,0.2618   ,0.1707   ,1.5334 ,0.1252 ,-0.0729 ,0.5964  
L_5_entry_rate_whole          ,2.2037   ,0.5216   ,4.2246 ,0.0000 ,1.1811  ,3.2262  
L_5_log_gdp                   ,-0.0508  ,0.1475   ,-0.3448,0.7303 ,-0.3399 ,0.2383  
L_6_entry_rate_whole          ,-2.4297  ,0.5086   ,-4.7768,0.0000 ,-3.4268 ,-1.4326 
L_6_log_gdp                   ,-0.0600  ,0.0669   ,-0.8970,0.3697 ,-0.1911 ,0.0711  
curr_chg_restriction_2_0      ,-0.0241  ,0.0570   ,-0.4230,0.6723 ,-0.1359 ,0.0876  
enter_chg_restriction_2_0     ,0.0306   ,0.0523   ,0.5850 ,0.5586 ,-0.0719 ,0.1330  
life_chg_restriction_2_0      ,-0.0374  ,0.1187   ,-0.3153,0.7525 ,-0.2702 ,0.1953  
pre_cohort_log_restriction_2_0,-0.0273  ,0.0138   ,-1.9810,0.0476 ,-0.0544 ,-0.0003 

F-test for Poolability: 2.3926
P-value: 0.0000
Distribution: F(270,7453)

Included effects: Entity, Time
