                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp_chg     ,  R-squared:           ,0.3021    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-3.8193   
No. Observations:,3026            ,  R-squared (Within):  ,0.3824    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.2470    
Time:            ,14:29:13        ,  Log-likelihood       ,3620.2    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,107.33    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,178.00          ,  Distribution:        ,F(12,2965)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,266.00          ,  F-statistic (robust):,37.673    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,36              ,  Distribution:        ,F(12,2965)
Avg Obs:         ,84.056          ,                       ,          
Min Obs:         ,74.000          ,                       ,          
Max Obs:         ,99.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.5934  ,0.2158   ,-2.7501,0.0060 ,-1.0166 ,-0.1703 
L_0_entry_rate_whole          ,-6.1005  ,0.4973   ,-12.266,0.0000 ,-7.0757 ,-5.1254 
L_0_log_gdp                   ,-0.1294  ,0.0560   ,-2.3122,0.0208 ,-0.2391 ,-0.0197 
L_1_entry_rate_whole          ,0.0464   ,0.5451   ,0.0852 ,0.9321 ,-1.0223 ,1.1152  
L_1_log_gdp                   ,0.1799   ,0.0751   ,2.3944 ,0.0167 ,0.0326  ,0.3273  
L_2_entry_rate_whole          ,5.0017   ,0.4951   ,10.102 ,0.0000 ,4.0309  ,5.9725  
L_2_log_gdp                   ,0.0496   ,0.0754   ,0.6570 ,0.5112 ,-0.0983 ,0.1975  
L_3_entry_rate_whole          ,0.3548   ,0.3752   ,0.9456 ,0.3444 ,-0.3809 ,1.0905  
L_3_log_gdp                   ,-0.0446  ,0.0535   ,-0.8330,0.4049 ,-0.1496 ,0.0604  
cross                         ,0.0704   ,0.0531   ,1.3258 ,0.1850 ,-0.0337 ,0.1746  
full_chg_restriction_2_0      ,0.0179   ,0.0459   ,0.3903 ,0.6963 ,-0.0720 ,0.1078  
large_firm                    ,-0.9556  ,0.6026   ,-1.5858,0.1129 ,-2.1373 ,0.2260  
pre_cohort_log_restriction_2_0,0.0300   ,0.0176   ,1.7005 ,0.0891 ,-0.0046 ,0.0646  

F-test for Poolability: 18.475
P-value: 0.0000
Distribution: F(48,2965)

Included effects: Entity, Time
