                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp_chg     ,  R-squared:           ,0.1858    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-5.5829   
No. Observations:,2959            ,  R-squared (Within):  ,0.2095    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.1350    
Time:            ,15:47:21        ,  Log-likelihood       ,3768.1    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,41.704    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,174.06          ,  Distribution:        ,F(16,2895)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,266.00          ,  F-statistic (robust):,17.261    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(16,2895)
Avg Obs:         ,77.868          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,92.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.2987   ,0.1768   ,1.6895 ,0.0912 ,-0.0480 ,0.6454  
L_0_entry_rate_whole          ,0.8616   ,0.3834   ,2.2472 ,0.0247 ,0.1098  ,1.6135  
L_0_log_gdp                   ,0.0585   ,0.0454   ,1.2898 ,0.1972 ,-0.0305 ,0.1475  
L_1_entry_rate_whole          ,-0.4710  ,0.5250   ,-0.8972,0.3697 ,-1.5005 ,0.5584  
L_1_log_gdp                   ,-0.0371  ,0.0648   ,-0.5732,0.5666 ,-0.1641 ,0.0899  
L_2_entry_rate_whole          ,0.4451   ,0.3647   ,1.2205 ,0.2224 ,-0.2700 ,1.1602  
L_2_log_gdp                   ,-0.0219  ,0.0666   ,-0.3286,0.7425 ,-0.1524 ,0.1087  
L_3_entry_rate_whole          ,-0.1563  ,0.3045   ,-0.5134,0.6077 ,-0.7535 ,0.4408  
L_3_log_gdp                   ,-0.0327  ,0.0543   ,-0.6018,0.5474 ,-0.1392 ,0.0738  
L_4_entry_rate_whole          ,5.0946   ,0.4636   ,10.988 ,0.0000 ,4.1855  ,6.0037  
L_4_log_gdp                   ,0.1210   ,0.0537   ,2.2514 ,0.0244 ,0.0156  ,0.2264  
L_5_entry_rate_whole          ,-5.2089  ,0.3729   ,-13.968,0.0000 ,-5.9401 ,-4.4777 
L_5_log_gdp                   ,-0.1175  ,0.0378   ,-3.1108,0.0019 ,-0.1915 ,-0.0434 
cross                         ,0.0108   ,0.0355   ,0.3056 ,0.7599 ,-0.0587 ,0.0803  
full_chg_restriction_2_0      ,-0.0293  ,0.0653   ,-0.4482,0.6541 ,-0.1573 ,0.0988  
large_firm                    ,-0.1309  ,0.3893   ,-0.3363,0.7366 ,-0.8942 ,0.6323  
pre_cohort_log_restriction_2_0,-0.0169  ,0.0150   ,-1.1270,0.2598 ,-0.0462 ,0.0125  

F-test for Poolability: 9.3218
P-value: 0.0000
Distribution: F(47,2895)

Included effects: Entity, Time
