                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp_chg     ,  R-squared:           ,0.0261    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.2480   
No. Observations:,7742            ,  R-squared (Within):  ,0.0312    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0212    
Time:            ,15:47:17        ,  Log-likelihood       ,-397.78   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,12.715    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,29.550          ,  Distribution:        ,F(16,7455)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,33.000          ,  F-statistic (robust):,4.519e+14 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(16,7455)
Avg Obs:         ,203.74          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,237.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.2968   ,0.1921   ,1.5453 ,0.1223 ,-0.0797 ,0.6733  
L_0_entry_rate_whole          ,0.4235   ,0.2883   ,1.4691 ,0.1419 ,-0.1416 ,0.9885  
L_0_log_gdp                   ,0.1120   ,0.1449   ,0.7728 ,0.4397 ,-0.1721 ,0.3961  
L_1_entry_rate_whole          ,0.2236   ,0.5219   ,0.4285 ,0.6683 ,-0.7994 ,1.2466  
L_1_log_gdp                   ,0.1881   ,0.3295   ,0.5709 ,0.5681 ,-0.4578 ,0.8340  
L_2_entry_rate_whole          ,-0.0825  ,0.4314   ,-0.1912,0.8484 ,-0.9282 ,0.7633  
L_2_log_gdp                   ,-0.2654  ,0.3285   ,-0.8080,0.4191 ,-0.9095 ,0.3786  
L_3_entry_rate_whole          ,0.1197   ,0.3335   ,0.3589 ,0.7197 ,-0.5340 ,0.7734  
L_3_log_gdp                   ,-0.1965  ,0.1510   ,-1.3007,0.1934 ,-0.4926 ,0.0996  
L_4_entry_rate_whole          ,0.1981   ,0.2428   ,0.8156 ,0.4147 ,-0.2780 ,0.6741  
L_4_log_gdp                   ,0.2627   ,0.1696   ,1.5494 ,0.1213 ,-0.0697 ,0.5951  
L_5_entry_rate_whole          ,2.2079   ,0.5238   ,4.2149 ,0.0000 ,1.1810  ,3.2347  
L_5_log_gdp                   ,-0.0482  ,0.1465   ,-0.3290,0.7422 ,-0.3353 ,0.2389  
L_6_entry_rate_whole          ,-2.4291  ,0.5078   ,-4.7835,0.0000 ,-3.4245 ,-1.4337 
L_6_log_gdp                   ,-0.0637  ,0.0657   ,-0.9697,0.3322 ,-0.1924 ,0.0650  
full_chg_restriction_2_0      ,-0.0214  ,0.0772   ,-0.2767,0.7820 ,-0.1728 ,0.1300  
pre_cohort_log_restriction_2_0,-0.0303  ,0.0150   ,-2.0278,0.0426 ,-0.0597 ,-0.0010 

F-test for Poolability: 2.4582
P-value: 0.0000
Distribution: F(270,7455)

Included effects: Entity, Time
