                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp_chg     ,  R-squared:           ,0.0505    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-4.9813   
No. Observations:,8731            ,  R-squared (Within):  ,0.0633    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0235    
Time:            ,15:47:18        ,  Log-likelihood       ,371.39    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,30.259    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,33.324          ,  Distribution:        ,F(15,8438)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,37.000          ,  F-statistic (robust):,1.601e+14 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(15,8438)
Avg Obs:         ,229.76          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.5052   ,0.2088   ,2.4192 ,0.0156 ,0.0959  ,0.9146  
L_0_chg_log_restriction_2_0   ,0.0706   ,0.0898   ,0.7863 ,0.4317 ,-0.1054 ,0.2466  
L_0_entry_rate_whole          ,0.2504   ,0.1901   ,1.3173 ,0.1878 ,-0.1222 ,0.6229  
L_0_log_gdp                   ,0.2941   ,0.1974   ,1.4897 ,0.1363 ,-0.0929 ,0.6812  
L_1_chg_log_restriction_2_0   ,0.0007   ,0.0796   ,0.0094 ,0.9925 ,-0.1553 ,0.1568  
L_1_entry_rate_whole          ,0.9093   ,0.3154   ,2.8831 ,0.0039 ,0.2911  ,1.5276  
L_1_log_gdp                   ,-0.1504  ,0.2709   ,-0.5553,0.5787 ,-0.6814 ,0.3806  
L_2_chg_log_restriction_2_0   ,-0.1069  ,0.0456   ,-2.3444,0.0191 ,-0.1962 ,-0.0175 
L_2_entry_rate_whole          ,-0.6429  ,0.2640   ,-2.4351,0.0149 ,-1.1604 ,-0.1254 
L_2_log_gdp                   ,-0.0441  ,0.2264   ,-0.1950,0.8454 ,-0.4880 ,0.3997  
L_3_chg_log_restriction_2_0   ,0.0197   ,0.0722   ,0.2731 ,0.7848 ,-0.1217 ,0.1611  
L_3_entry_rate_whole          ,3.1272   ,0.7865   ,3.9761 ,0.0001 ,1.5855  ,4.6689  
L_3_log_gdp                   ,-0.0393  ,0.1876   ,-0.2096,0.8340 ,-0.4070 ,0.3284  
L_4_entry_rate_whole          ,-2.9447  ,0.6358   ,-4.6311,0.0000 ,-4.1911 ,-1.6982 
L_4_log_gdp                   ,-0.0629  ,0.0914   ,-0.6874,0.4919 ,-0.2421 ,0.1164  
pre_cohort_log_restriction_2_0,-0.0564  ,0.0170   ,-3.3279,0.0009 ,-0.0897 ,-0.0232 

F-test for Poolability: 3.1903
P-value: 0.0000
Distribution: F(277,8438)

Included effects: Entity, Time
