                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2002    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.3153    
No. Observations:,3141            ,  R-squared (Within):  ,-1.4323   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0484    
Time:            ,16:25:31        ,  Log-likelihood       ,-300.99   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,1.836e+05 
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,184.76          ,  Distribution:        ,F(16,3075)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,278.00          ,  F-statistic (robust):,46.123    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(16,3075)
Avg Obs:         ,82.658          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,97.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,6.9329   ,0.7202   ,9.6261 ,0.0000 ,5.5207  ,8.3451  
L_0_entry_rate_whole          ,-1.3956  ,1.4669   ,-0.9514,0.3415 ,-4.2718 ,1.4806  
L_0_log_gdp                   ,0.5540   ,0.2009   ,2.7573 ,0.0059 ,0.1600  ,0.9480  
L_1_entry_rate_whole          ,0.4827   ,2.0444   ,0.2361 ,0.8134 ,-3.5259 ,4.4913  
L_1_log_gdp                   ,0.2430   ,0.2670   ,0.9100 ,0.3629 ,-0.2805 ,0.7665  
L_2_entry_rate_whole          ,0.0400   ,2.0062   ,0.0199 ,0.9841 ,-3.8937 ,3.9737  
L_2_log_gdp                   ,-0.1224  ,0.2693   ,-0.4546,0.6494 ,-0.6505 ,0.4057  
L_3_entry_rate_whole          ,5.1883   ,1.8177   ,2.8543 ,0.0043 ,1.6243  ,8.7523  
L_3_log_gdp                   ,0.0599   ,0.2705   ,0.2213 ,0.8249 ,-0.4705 ,0.5903  
L_4_entry_rate_whole          ,0.3207   ,1.2218   ,0.2625 ,0.7930 ,-2.0750 ,2.7164  
L_4_log_gdp                   ,0.1535   ,0.1913   ,0.8025 ,0.4223 ,-0.2215 ,0.5285  
cross                         ,0.3759   ,0.0401   ,9.3618 ,0.0000 ,0.2971  ,0.4546  
curr_chg_restriction_2_0      ,-0.2759  ,0.1265   ,-2.1815,0.0292 ,-0.5239 ,-0.0279 
enter_chg_restriction_2_0     ,-0.1094  ,0.1250   ,-0.8750,0.3816 ,-0.3546 ,0.1357  
large_firm                    ,-5.0974  ,0.4305   ,-11.839,0.0000 ,-5.9416 ,-4.2532 
life_chg_restriction_2_0      ,-0.3660  ,0.1887   ,-1.9395,0.0525 ,-0.7359 ,0.0040  
pre_cohort_log_restriction_2_0,-0.2580  ,0.0638   ,-4.0444,0.0001 ,-0.3830 ,-0.1329 

F-test for Poolability: 309.70
P-value: 0.0000
Distribution: F(49,3075)

Included effects: Entity, Time
