                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.1793    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.3774    
No. Observations:,2876            ,  R-squared (Within):  ,-1.2953   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.1077    
Time:            ,14:29:01        ,  Log-likelihood       ,-446.86   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,1.287e+05 
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,169.18          ,  Distribution:        ,F(18,2812)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,259.00          ,  F-statistic (robust):,33.618    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(18,2812)
Avg Obs:         ,84.588          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,5.8971   ,0.9372   ,6.2926 ,0.0000 ,4.0596  ,7.7347  
L_0_entry_rate_whole          ,-1.7766  ,1.6471   ,-1.0786,0.2809 ,-5.0062 ,1.4531  
L_0_log_gdp                   ,0.5567   ,0.2198   ,2.5334 ,0.0114 ,0.1258  ,0.9876  
L_1_entry_rate_whole          ,0.0270   ,2.2501   ,0.0120 ,0.9904 ,-4.3849 ,4.4390  
L_1_log_gdp                   ,0.1484   ,0.2917   ,0.5087 ,0.6110 ,-0.4236 ,0.7203  
L_2_entry_rate_whole          ,0.3589   ,2.2066   ,0.1626 ,0.8708 ,-3.9679 ,4.6856  
L_2_log_gdp                   ,-0.0442  ,0.2985   ,-0.1479,0.8824 ,-0.6295 ,0.5412  
L_3_entry_rate_whole          ,0.2664   ,2.1566   ,0.1235 ,0.9017 ,-3.9622 ,4.4950  
L_3_log_gdp                   ,-0.0681  ,0.2954   ,-0.2307,0.8176 ,-0.6475 ,0.5112  
L_4_entry_rate_whole          ,5.0364   ,1.9845   ,2.5379 ,0.0112 ,1.1452  ,8.9276  
L_4_log_gdp                   ,0.0756   ,0.2955   ,0.2558 ,0.7981 ,-0.5038 ,0.6549  
L_5_entry_rate_whole          ,0.5493   ,1.3382   ,0.4105 ,0.6815 ,-2.0746 ,3.1732  
L_5_log_gdp                   ,0.2187   ,0.2124   ,1.0296 ,0.3033 ,-0.1978 ,0.6351  
cross                         ,0.4158   ,0.0488   ,8.5167 ,0.0000 ,0.3201  ,0.5115  
curr_chg_restriction_2_0      ,-0.2881  ,0.1434   ,-2.0088,0.0447 ,-0.5693 ,-0.0069 
enter_chg_restriction_2_0     ,-0.3450  ,0.1458   ,-2.3658,0.0181 ,-0.6309 ,-0.0590 
large_firm                    ,-5.4460  ,0.5237   ,-10.400,0.0000 ,-6.4727 ,-4.4192 
life_chg_restriction_2_0      ,-1.0271  ,0.3090   ,-3.3237,0.0009 ,-1.6331 ,-0.4212 
pre_cohort_log_restriction_2_0,-0.1550  ,0.0889   ,-1.7440,0.0813 ,-0.3292 ,0.0193  

F-test for Poolability: 251.99
P-value: 0.0000
Distribution: F(45,2812)

Included effects: Entity, Time
