                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2148    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4723   
No. Observations:,7295            ,  R-squared (Within):  ,-2.6945   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.7064   
Time:            ,14:28:58        ,  Log-likelihood       ,-1199.0   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,2.169e+05 
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,27.844          ,  Distribution:        ,F(18,7007)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,31.000          ,  F-statistic (robust):,4.153e+13 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(18,7007)
Avg Obs:         ,221.06          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,238.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,2.4514   ,4.0498   ,0.6053 ,0.5450 ,-5.4875 ,10.390  
L_0_entry_rate_whole          ,-0.8465  ,0.3669   ,-2.3068,0.0211 ,-1.5658 ,-0.1271 
L_0_log_gdp                   ,0.5590   ,0.2896   ,1.9301 ,0.0536 ,-0.0087 ,1.1268  
L_1_entry_rate_whole          ,-0.5556  ,0.2978   ,-1.8654,0.0622 ,-1.1395 ,0.0283  
L_1_log_gdp                   ,0.4408   ,0.1620   ,2.7202 ,0.0065 ,0.1231  ,0.7585  
L_2_entry_rate_whole          ,-0.3703  ,0.4281   ,-0.8648,0.3872 ,-1.2096 ,0.4690  
L_2_log_gdp                   ,0.1777   ,0.1930   ,0.9207 ,0.3572 ,-0.2006 ,0.5561  
L_3_entry_rate_whole          ,-0.6087  ,0.2351   ,-2.5890,0.0096 ,-1.0696 ,-0.1478 
L_3_log_gdp                   ,-0.1685  ,0.1353   ,-1.2455,0.2130 ,-0.4337 ,0.0967  
L_4_entry_rate_whole          ,0.8826   ,0.1179   ,7.4887 ,0.0000 ,0.6515  ,1.1136  
L_4_log_gdp                   ,0.1048   ,0.1054   ,0.9938 ,0.3204 ,-0.1019 ,0.3114  
L_5_entry_rate_whole          ,1.0912   ,0.5648   ,1.9319 ,0.0534 ,-0.0160 ,2.1984  
L_5_log_gdp                   ,0.1226   ,0.1481   ,0.8278 ,0.4078 ,-0.1677 ,0.4129  
L_6_entry_rate_whole          ,-0.9829  ,0.2803   ,-3.5061,0.0005 ,-1.5324 ,-0.4333 
L_6_log_gdp                   ,-0.1355  ,0.2406   ,-0.5633,0.5732 ,-0.6071 ,0.3361  
curr_chg_restriction_2_0      ,0.1177   ,0.1663   ,0.7080 ,0.4790 ,-0.2082 ,0.4436  
enter_chg_restriction_2_0     ,0.3252   ,0.3384   ,0.9612 ,0.3365 ,-0.3381 ,0.9885  
life_chg_restriction_2_0      ,0.8831   ,1.1121   ,0.7940 ,0.4272 ,-1.2970 ,3.0632  
pre_cohort_log_restriction_2_0,0.0423   ,0.3103   ,0.1365 ,0.8915 ,-0.5659 ,0.6506  

F-test for Poolability: 277.66
P-value: 0.0000
Distribution: F(269,7007)

Included effects: Entity, Time
