                     PanelOLS Estimation Summary                      
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.9292     
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.9938     
No. Observations:,14921           ,  R-squared (Within):  ,0.8882     
Date:            ,Tue, Jul 19 2022,  R-squared (Overall): ,0.9731     
Time:            ,12:24:59        ,  Log-likelihood       ,1.417e+04  
Cov. Estimator:  ,Robust          ,                       ,           
                 ,                ,  F-statistic:         ,9.286e+06  
Entities:        ,17              ,  P-value              ,0.0000     
Avg Obs:         ,877.71          ,  Distribution:        ,F(13,14858)
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,1321.0          ,  F-statistic (robust):,6.157e+04  
                 ,                ,  P-value              ,0.0000     
Time periods:    ,37              ,  Distribution:        ,F(13,14858)
Avg Obs:         ,403.27          ,                       ,           
Min Obs:         ,77.000          ,                       ,           
Max Obs:         ,476.00          ,                       ,           
                 ,                ,                       ,           
                                  Parameter Estimates                                   
                                  ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.1.0]           ,-0.1356  ,0.1572   ,-0.8625,0.3885 ,-0.4438 ,0.1726  
C(age_grp_dummy)[T.2.0]           ,-0.1415  ,0.1570   ,-0.9014,0.3674 ,-0.4492 ,0.1662  
C(age_grp_dummy)[T.3.0]           ,-0.1431  ,0.1567   ,-0.9133,0.3611 ,-0.4502 ,0.1640  
C(age_grp_dummy)[T.4.0]           ,-0.1425  ,0.1563   ,-0.9114,0.3621 ,-0.4489 ,0.1639  
C(age_grp_dummy)[T.5.0]           ,-0.1333  ,0.1555   ,-0.8571,0.3914 ,-0.4381 ,0.1715  
L_0_entry_rate_whole              ,-6.6049  ,0.2275   ,-29.031,0.0000 ,-7.0509 ,-6.1590 
L_0_log_gdp                       ,-0.2543  ,0.0290   ,-8.7763,0.0000 ,-0.3112 ,-0.1975 
L_0_log_restriction_2_0           ,-0.0299  ,0.0232   ,-1.2861,0.1984 ,-0.0754 ,0.0157  
avg_entry_rate_whole              ,5.5209   ,0.2324   ,23.760 ,0.0000 ,5.0654  ,5.9763  
avg_log_gdp                       ,0.3685   ,0.0273   ,13.505 ,0.0000 ,0.3150  ,0.4219  
avg_log_restriction_2_0           ,0.0456   ,0.0257   ,1.7784 ,0.0754 ,-0.0047 ,0.0959  
large_firm                        ,-1.6982  ,0.2412   ,-7.0409,0.0000 ,-2.1709 ,-1.2254 
log_emp_cohort                    ,0.9393   ,0.0038   ,247.04 ,0.0000 ,0.9318  ,0.9467  
avg_log_restriction_2_0:large_firm,0.1286   ,0.0215   ,5.9920 ,0.0000 ,0.0866  ,0.1707  

F-test for Poolability: 49.027
P-value: 0.0000
Distribution: F(49,14858)

Included effects: Entity, Time
