                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2192    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.3229    
No. Observations:,3182            ,  R-squared (Within):  ,-1.6462   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0368    
Time:            ,16:25:23        ,  Log-likelihood       ,-156.92   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,2.878e+05 
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,187.18          ,  Distribution:        ,F(12,3119)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,277.00          ,  F-statistic (robust):,76.782    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(12,3119)
Avg Obs:         ,83.737          ,                       ,          
Min Obs:         ,74.000          ,                       ,          
Max Obs:         ,99.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,6.8372   ,0.7053   ,9.6934 ,0.0000 ,5.4542  ,8.2201  
L_0_entry_rate_whole          ,-0.5715  ,1.3954   ,-0.4096,0.6822 ,-3.3074 ,2.1644  
L_0_log_gdp                   ,0.5923   ,0.2005   ,2.9545 ,0.0032 ,0.1992  ,0.9854  
L_1_entry_rate_whole          ,0.2330   ,1.8414   ,0.1266 ,0.8993 ,-3.3774 ,3.8434  
L_1_log_gdp                   ,0.1550   ,0.2723   ,0.5694 ,0.5692 ,-0.3789 ,0.6890  
L_2_entry_rate_whole          ,4.9680   ,1.6065   ,3.0924 ,0.0020 ,1.8180  ,8.1179  
L_2_log_gdp                   ,0.0228   ,0.2686   ,0.0848 ,0.9324 ,-0.5038 ,0.5494  
L_3_entry_rate_whole          ,0.2296   ,1.0815   ,0.2123 ,0.8319 ,-1.8909 ,2.3501  
L_3_log_gdp                   ,0.1049   ,0.1873   ,0.5600 ,0.5755 ,-0.2623 ,0.4721  
cross                         ,0.3846   ,0.0406   ,9.4675 ,0.0000 ,0.3049  ,0.4643  
full_chg_restriction_2_0      ,-0.2847  ,0.1676   ,-1.6985,0.0895 ,-0.6134 ,0.0440  
large_firm                    ,-5.3414  ,0.4334   ,-12.325,0.0000 ,-6.1911 ,-4.4917 
pre_cohort_log_restriction_2_0,-0.2302  ,0.0592   ,-3.8880,0.0001 ,-0.3462 ,-0.1141 

F-test for Poolability: 360.04
P-value: 0.0000
Distribution: F(50,3119)

Included effects: Entity, Time
