                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2363    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.3939   
No. Observations:,8761            ,  R-squared (Within):  ,-2.7576   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.6445   
Time:            ,16:25:19        ,  Log-likelihood       ,-1240.0   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,4.103e+05 
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,33.439          ,  Distribution:        ,F(12,8470)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,37.000          ,  F-statistic (robust):,8079.8    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(12,8470)
Avg Obs:         ,230.55          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,3.8748   ,2.8729   ,1.3488 ,0.1775 ,-1.7567 ,9.5064  
L_0_entry_rate_whole          ,-1.2731  ,0.4345   ,-2.9297,0.0034 ,-2.1249 ,-0.4213 
L_0_log_gdp                   ,0.7203   ,0.1778   ,4.0505 ,0.0001 ,0.3717  ,1.0689  
L_1_entry_rate_whole          ,0.3634   ,0.3096   ,1.1736 ,0.2406 ,-0.2436 ,0.9703  
L_1_log_gdp                   ,0.2189   ,0.1114   ,1.9658 ,0.0494 ,0.0006  ,0.4372  
L_2_entry_rate_whole          ,0.4285   ,0.2736   ,1.5661 ,0.1174 ,-0.1078 ,0.9647  
L_2_log_gdp                   ,0.0700   ,0.1316   ,0.5315 ,0.5951 ,-0.1881 ,0.3280  
L_3_entry_rate_whole          ,3.4648   ,0.6192   ,5.5961 ,0.0000 ,2.2511  ,4.6785  
L_3_log_gdp                   ,-0.0471  ,0.1283   ,-0.3673,0.7134 ,-0.2986 ,0.2044  
L_4_entry_rate_whole          ,-0.7085  ,0.7625   ,-0.9292,0.3528 ,-2.2031 ,0.7861  
L_4_log_gdp                   ,0.1449   ,0.1389   ,1.0433 ,0.2969 ,-0.1273 ,0.4171  
full_chg_restriction_2_0      ,0.0177   ,0.5826   ,0.0303 ,0.9758 ,-1.1245 ,1.1598  
pre_cohort_log_restriction_2_0,-0.1436  ,0.2227   ,-0.6449,0.5190 ,-0.5802 ,0.2929  

F-test for Poolability: 357.92
P-value: 0.0000
Distribution: F(278,8470)

Included effects: Entity, Time
