                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2240    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4352   
No. Observations:,7770            ,  R-squared (Within):  ,-2.9067   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.6745   
Time:            ,16:25:19        ,  Log-likelihood       ,-992.30   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,2.734e+05 
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,29.656          ,  Distribution:        ,F(16,7482)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,33.000          ,  F-statistic (robust):,1.111e+14 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(16,7482)
Avg Obs:         ,204.47          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,238.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,2.8377   ,2.9522   ,0.9612 ,0.3365 ,-2.9495 ,8.6249  
L_0_entry_rate_whole          ,-1.4673  ,0.4645   ,-3.1591,0.0016 ,-2.3777 ,-0.5568 
L_0_log_gdp                   ,0.5818   ,0.2607   ,2.2317 ,0.0257 ,0.0707  ,1.0928  
L_1_entry_rate_whole          ,0.3569   ,0.2752   ,1.2966 ,0.1948 ,-0.1827 ,0.8964  
L_1_log_gdp                   ,0.3944   ,0.2112   ,1.8674 ,0.0619 ,-0.0196 ,0.8083  
L_2_entry_rate_whole          ,0.3668   ,0.2364   ,1.5514 ,0.1208 ,-0.0967 ,0.8303  
L_2_log_gdp                   ,0.1071   ,0.1616   ,0.6630 ,0.5073 ,-0.2096 ,0.4239  
L_3_entry_rate_whole          ,0.4652   ,0.2309   ,2.0147 ,0.0440 ,0.0126  ,0.9179  
L_3_log_gdp                   ,-0.2399  ,0.1245   ,-1.9275,0.0540 ,-0.4840 ,0.0041  
L_4_entry_rate_whole          ,-0.0052  ,0.5698   ,-0.0091,0.9927 ,-1.1223 ,1.1119  
L_4_log_gdp                   ,0.1646   ,0.1328   ,1.2401 ,0.2150 ,-0.0956 ,0.4249  
L_5_entry_rate_whole          ,3.1293   ,0.4908   ,6.3762 ,0.0000 ,2.1672  ,4.0913  
L_5_log_gdp                   ,0.1882   ,0.0935   ,2.0122 ,0.0442 ,0.0049  ,0.3715  
L_6_entry_rate_whole          ,-0.4368  ,0.5267   ,-0.8293,0.4069 ,-1.4693 ,0.5957  
L_6_log_gdp                   ,0.0528   ,0.1318   ,0.4004 ,0.6889 ,-0.2057 ,0.3112  
full_chg_restriction_2_0      ,-0.0095  ,0.7804   ,-0.0121,0.9903 ,-1.5393 ,1.5204  
pre_cohort_log_restriction_2_0,-0.1473  ,0.2288   ,-0.6437,0.5198 ,-0.5958 ,0.3012  

F-test for Poolability: 335.50
P-value: 0.0000
Distribution: F(271,7482)

Included effects: Entity, Time
