                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.1561    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.3899    
No. Observations:,2739            ,  R-squared (Within):  ,-1.1027   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.1284    
Time:            ,14:28:53        ,  Log-likelihood       ,-628.06   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,1.026e+05 
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,161.12          ,  Distribution:        ,F(18,2677)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,247.00          ,  F-statistic (robust):,35.873    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(18,2677)
Avg Obs:         ,83.000          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,5.6495   ,1.0917   ,5.1750 ,0.0000 ,3.5089  ,7.7902  
L_0_entry_rate_whole          ,-2.8967  ,1.9941   ,-1.4526,0.1464 ,-6.8069 ,1.0134  
L_0_log_gdp                   ,0.5595   ,0.2450   ,2.2838 ,0.0225 ,0.0791  ,1.0399  
L_1_entry_rate_whole          ,0.9243   ,2.6974   ,0.3426 ,0.7319 ,-4.3650 ,6.2135  
L_1_log_gdp                   ,0.1183   ,0.3076   ,0.3847 ,0.7005 ,-0.4848 ,0.7214  
L_2_entry_rate_whole          ,-0.4920  ,2.3775   ,-0.2070,0.8361 ,-5.1540 ,4.1699  
L_2_log_gdp                   ,-0.0488  ,0.3137   ,-0.1555,0.8764 ,-0.6638 ,0.5663  
L_3_entry_rate_whole          ,0.9084   ,2.3671   ,0.3838 ,0.7012 ,-3.7330 ,5.5499  
L_3_log_gdp                   ,-0.0732  ,0.3210   ,-0.2280,0.8197 ,-0.7026 ,0.5563  
L_4_entry_rate_whole          ,0.3827   ,2.4040   ,0.1592 ,0.8735 ,-4.3313 ,5.0966  
L_4_log_gdp                   ,0.0907   ,0.3171   ,0.2862 ,0.7748 ,-0.5311 ,0.7125  
L_5_entry_rate_whole          ,4.8542   ,2.2130   ,2.1935 ,0.0284 ,0.5148  ,9.1936  
L_5_log_gdp                   ,0.0074   ,0.3221   ,0.0230 ,0.9816 ,-0.6242 ,0.6390  
L_6_entry_rate_whole          ,0.8470   ,1.4354   ,0.5901 ,0.5552 ,-1.9677 ,3.6617  
L_6_log_gdp                   ,0.2590   ,0.2321   ,1.1159 ,0.2646 ,-0.1961 ,0.7140  
cross                         ,0.4360   ,0.0450   ,9.6784 ,0.0000 ,0.3476  ,0.5243  
full_chg_restriction_2_0      ,-1.7750  ,0.4904   ,-3.6193,0.0003 ,-2.7367 ,-0.8134 
large_firm                    ,-5.5864  ,0.4740   ,-11.786,0.0000 ,-6.5158 ,-4.6570 
pre_cohort_log_restriction_2_0,-0.1538  ,0.1042   ,-1.4769,0.1398 ,-0.3581 ,0.0504  

F-test for Poolability: 207.62
P-value: 0.0000
Distribution: F(43,2677)

Included effects: Entity, Time
