                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2116    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4332   
No. Observations:,8531            ,  R-squared (Within):  ,-3.0521   
Date:            ,Tue, Jul 19 2022,  R-squared (Overall): ,-0.7394   
Time:            ,12:24:50        ,  Log-likelihood       ,-1660.5   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,3.69e+05  
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,32.561          ,  Distribution:        ,F(12,8241)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,36.000          ,  F-statistic (robust):,59.924    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,36              ,  Distribution:        ,F(12,8241)
Avg Obs:         ,236.97          ,                       ,          
Min Obs:         ,234.00          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,3.0454   ,0.7365   ,4.1348 ,0.0000 ,1.6016  ,4.4891  
L_0_chg_restriction_2_0,0.0777   ,0.1336   ,0.5815 ,0.5609 ,-0.1842 ,0.3396  
L_0_entry_rate_whole   ,-1.5608  ,0.8676   ,-1.7990,0.0721 ,-3.2616 ,0.1399  
L_0_log_gdp            ,0.5950   ,0.1566   ,3.7987 ,0.0001 ,0.2879  ,0.9020  
L_1_chg_restriction_2_0,0.0364   ,0.1420   ,0.2562 ,0.7978 ,-0.2420 ,0.3147  
L_1_entry_rate_whole   ,0.3162   ,1.1680   ,0.2707 ,0.7866 ,-1.9735 ,2.6059  
L_1_log_gdp            ,0.3280   ,0.2243   ,1.4621 ,0.1438 ,-0.1118 ,0.7677  
L_2_chg_restriction_2_0,0.1017   ,0.1350   ,0.7539 ,0.4509 ,-0.1628 ,0.3663  
L_2_entry_rate_whole   ,2.3921   ,1.5124   ,1.5817 ,0.1138 ,-0.5726 ,5.3568  
L_2_log_gdp            ,0.0978   ,0.2347   ,0.4166 ,0.6769 ,-0.3622 ,0.5578  
L_3_entry_rate_whole   ,-0.8026  ,0.9533   ,-0.8419,0.3999 ,-2.6714 ,1.0662  
L_3_log_gdp            ,0.0337   ,0.1565   ,0.2155 ,0.8294 ,-0.2730 ,0.3405  
L_3_log_restriction_2_0,0.0039   ,0.0598   ,0.0654 ,0.9478 ,-0.1133 ,0.1211  

F-test for Poolability: 305.27
P-value: 0.0000
Distribution: F(277,8241)

Included effects: Entity, Time
