                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2192    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.3226    
No. Observations:,3182            ,  R-squared (Within):  ,-1.6421   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0371    
Time:            ,16:25:24        ,  Log-likelihood       ,-156.91   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,2.465e+05 
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,187.18          ,  Distribution:        ,F(14,3117)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,277.00          ,  F-statistic (robust):,65.810    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(14,3117)
Avg Obs:         ,83.737          ,                       ,          
Min Obs:         ,74.000          ,                       ,          
Max Obs:         ,99.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,6.8465   ,0.7112   ,9.6271 ,0.0000 ,5.4521  ,8.2409  
L_0_chg_log_restriction_2_0   ,-0.1304  ,0.1271   ,-1.0265,0.3047 ,-0.3796 ,0.1187  
L_0_entry_rate_whole          ,-0.5732  ,1.3945   ,-0.4111,0.6811 ,-3.3074 ,2.1610  
L_0_log_gdp                   ,0.5924   ,0.2002   ,2.9589 ,0.0031 ,0.1998  ,0.9849  
L_1_chg_log_restriction_2_0   ,-0.1536  ,0.1212   ,-1.2680,0.2049 ,-0.3912 ,0.0839  
L_1_entry_rate_whole          ,0.2212   ,1.8443   ,0.1199 ,0.9045 ,-3.3950 ,3.8374  
L_1_log_gdp                   ,0.1540   ,0.2722   ,0.5655 ,0.5718 ,-0.3798 ,0.6877  
L_2_chg_log_restriction_2_0   ,-0.1416  ,0.1279   ,-1.1076,0.2681 ,-0.3924 ,0.1091  
L_2_entry_rate_whole          ,4.9987   ,1.6240   ,3.0781 ,0.0021 ,1.8145  ,8.1828  
L_2_log_gdp                   ,0.0247   ,0.2693   ,0.0919 ,0.9268 ,-0.5032 ,0.5527  
L_3_entry_rate_whole          ,0.2124   ,1.0866   ,0.1954 ,0.8451 ,-1.9181 ,2.3428  
L_3_log_gdp                   ,0.1034   ,0.1872   ,0.5522 ,0.5809 ,-0.2637 ,0.4704  
cross                         ,0.3846   ,0.0406   ,9.4672 ,0.0000 ,0.3050  ,0.4643  
large_firm                    ,-5.3419  ,0.4334   ,-12.325,0.0000 ,-6.1917 ,-4.4921 
pre_cohort_log_restriction_2_0,-0.2307  ,0.0596   ,-3.8683,0.0001 ,-0.3477 ,-0.1138 

F-test for Poolability: 359.80
P-value: 0.0000
Distribution: F(50,3117)

Included effects: Entity, Time
