                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2365    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.3936   
No. Observations:,8761            ,  R-squared (Within):  ,-2.7460   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.6430   
Time:            ,16:25:20        ,  Log-likelihood       ,-1239.2   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,3.282e+05 
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,33.439          ,  Distribution:        ,F(15,8467)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,37.000          ,  F-statistic (robust):,9.035e+12 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(15,8467)
Avg Obs:         ,230.55          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,3.8968   ,2.9974   ,1.3001 ,0.1936 ,-1.9788 ,9.7724  
L_0_chg_log_restriction_2_0   ,0.0001   ,0.1373   ,0.0009 ,0.9993 ,-0.2690 ,0.2692  
L_0_entry_rate_whole          ,-1.2741  ,0.4374   ,-2.9132,0.0036 ,-2.1314 ,-0.4168 
L_0_log_gdp                   ,0.7223   ,0.1803   ,4.0057 ,0.0001 ,0.3688  ,1.0758  
L_1_chg_log_restriction_2_0   ,0.0499   ,0.1510   ,0.3302 ,0.7412 ,-0.2462 ,0.3460  
L_1_entry_rate_whole          ,0.3690   ,0.3113   ,1.1851 ,0.2360 ,-0.2413 ,0.9793  
L_1_log_gdp                   ,0.2199   ,0.1137   ,1.9337 ,0.0532 ,-0.0030 ,0.4428  
L_2_chg_log_restriction_2_0   ,-0.0435  ,0.2330   ,-0.1869,0.8517 ,-0.5002 ,0.4131  
L_2_entry_rate_whole          ,0.4204   ,0.2705   ,1.5538 ,0.1203 ,-0.1100 ,0.9507  
L_2_log_gdp                   ,0.0622   ,0.1400   ,0.4440 ,0.6571 ,-0.2122 ,0.3365  
L_3_chg_log_restriction_2_0   ,0.0242   ,0.2633   ,0.0919 ,0.9267 ,-0.4920 ,0.5404  
L_3_entry_rate_whole          ,3.4776   ,0.6284   ,5.5336 ,0.0000 ,2.2457  ,4.7095  
L_3_log_gdp                   ,-0.0360  ,0.1274   ,-0.2831,0.7771 ,-0.2857 ,0.2136  
L_4_entry_rate_whole          ,-0.7173  ,0.7608   ,-0.9428,0.3458 ,-2.2087 ,0.7741  
L_4_log_gdp                   ,0.1376   ,0.1371   ,1.0035 ,0.3156 ,-0.1311 ,0.4062  
pre_cohort_log_restriction_2_0,-0.1451  ,0.2294   ,-0.6326,0.5270 ,-0.5948 ,0.3045  

F-test for Poolability: 357.72
P-value: 0.0000
Distribution: F(278,8467)

Included effects: Entity, Time
