                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2349    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4120   
No. Observations:,8275            ,  R-squared (Within):  ,-2.8551   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.6607   
Time:            ,16:25:21        ,  Log-likelihood       ,-1100.9   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         , 2.6e+05  
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,31.584          ,  Distribution:        ,F(18,7981)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,35.000          ,  F-statistic (robust):, 2.2e+14  
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(18,7981)
Avg Obs:         ,217.76          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,3.3076   ,3.1485   ,1.0505 ,0.2935 ,-2.8642 ,9.4794  
L_0_chg_log_restriction_2_0   ,-0.0670  ,0.0893   ,-0.7503,0.4531 ,-0.2421 ,0.1081  
L_0_entry_rate_whole          ,-0.8896  ,0.4504   ,-1.9753,0.0483 ,-1.7724 ,-0.0068 
L_0_log_gdp                   ,0.6997   ,0.2309   ,3.0297 ,0.0025 ,0.2470  ,1.1524  
L_1_chg_log_restriction_2_0   ,-0.0287  ,0.1408   ,-0.2040,0.8384 ,-0.3048 ,0.2473  
L_1_entry_rate_whole          ,0.0540   ,0.3756   ,0.1437 ,0.8858 ,-0.6823 ,0.7902  
L_1_log_gdp                   ,0.2587   ,0.1520   ,1.7022 ,0.0888 ,-0.0392 ,0.5566  
L_2_chg_log_restriction_2_0   ,0.0349   ,0.1873   ,0.1865 ,0.8521 ,-0.3323 ,0.4022  
L_2_entry_rate_whole          ,-0.1340  ,0.3191   ,-0.4198,0.6746 ,-0.7595 ,0.4915  
L_2_log_gdp                   ,0.0234   ,0.1009   ,0.2323 ,0.8163 ,-0.1743 ,0.2212  
L_3_chg_log_restriction_2_0   ,-0.0663  ,0.2398   ,-0.2765,0.7822 ,-0.5363 ,0.4037  
L_3_entry_rate_whole          ,0.2704   ,0.2298   ,1.1768 ,0.2393 ,-0.1800 ,0.7208  
L_3_log_gdp                   ,0.0964   ,0.1157   ,0.8329 ,0.4049 ,-0.1304 ,0.3231  
L_4_chg_log_restriction_2_0   ,0.0187   ,0.2815   ,0.0664 ,0.9471 ,-0.5331 ,0.5704  
L_4_entry_rate_whole          ,3.6707   ,0.5497   ,6.6777 ,0.0000 ,2.5931  ,4.7482  
L_4_log_gdp                   ,-0.0375  ,0.0607   ,-0.6169,0.5373 ,-0.1565 ,0.0816  
L_5_entry_rate_whole          ,-0.5490  ,0.6600   ,-0.8319,0.4055 ,-1.8427 ,0.7447  
L_5_log_gdp                   ,0.1464   ,0.1324   ,1.1054 ,0.2690 ,-0.1132 ,0.4059  
pre_cohort_log_restriction_2_0,-0.1469  ,0.2393   ,-0.6138,0.5393 ,-0.6161 ,0.3222  

F-test for Poolability: 348.60
P-value: 0.0000
Distribution: F(275,7981)

Included effects: Entity, Time
