                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.1794    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.3777    
No. Observations:,2876            ,  R-squared (Within):  ,-1.2941   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.1081    
Time:            ,14:28:54        ,  Log-likelihood       ,-446.76   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,1.158e+05 
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,169.18          ,  Distribution:        ,F(20,2810)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,259.00          ,  F-statistic (robust):,30.487    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(20,2810)
Avg Obs:         ,84.588          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,5.8918   ,0.9433   ,6.2459 ,0.0000 ,4.0421  ,7.7414  
L_0_chg_restriction_2_0       ,-0.2923  ,0.1441   ,-2.0277,0.0427 ,-0.5749 ,-0.0096 
L_0_entry_rate_whole          ,-1.7508  ,1.6415   ,-1.0666,0.2863 ,-4.9694 ,1.4678  
L_0_log_gdp                   ,0.5597   ,0.2205   ,2.5384 ,0.0112 ,0.1274  ,0.9920  
L_1_chg_restriction_2_0       ,-0.3470  ,0.1446   ,-2.3993,0.0165 ,-0.6306 ,-0.0634 
L_1_entry_rate_whole          ,0.0044   ,2.2451   ,0.0019 ,0.9985 ,-4.3978 ,4.4066  
L_1_log_gdp                   ,0.1445   ,0.2926   ,0.4940 ,0.6214 ,-0.4291 ,0.7182  
L_2_chg_restriction_2_0       ,-0.3741  ,0.1421   ,-2.6331,0.0085 ,-0.6527 ,-0.0955 
L_2_entry_rate_whole          ,0.3596   ,2.2221   ,0.1618 ,0.8714 ,-3.9975 ,4.7167  
L_2_log_gdp                   ,-0.0449  ,0.2992   ,-0.1502,0.8806 ,-0.6315 ,0.5417  
L_3_chg_restriction_2_0       ,-0.3107  ,0.1511   ,-2.0563,0.0398 ,-0.6071 ,-0.0144 
L_3_entry_rate_whole          ,0.3027   ,2.2025   ,0.1374 ,0.8907 ,-4.0160 ,4.6215  
L_3_log_gdp                   ,-0.0606  ,0.2965   ,-0.2043,0.8382 ,-0.6420 ,0.5209  
L_4_chg_restriction_2_0       ,-0.3422  ,0.1506   ,-2.2721,0.0232 ,-0.6375 ,-0.0469 
L_4_entry_rate_whole          ,4.9793   ,2.0123   ,2.4745 ,0.0134 ,1.0336  ,8.9251  
L_4_log_gdp                   ,0.0676   ,0.2956   ,0.2287 ,0.8191 ,-0.5120 ,0.6472  
L_5_entry_rate_whole          ,0.5716   ,1.3433   ,0.4255 ,0.6705 ,-2.0623 ,3.2054  
L_5_log_gdp                   ,0.2209   ,0.2121   ,1.0414 ,0.2978 ,-0.1950 ,0.6367  
cross                         ,0.4157   ,0.0489   ,8.5065 ,0.0000 ,0.3199  ,0.5115  
large_firm                    ,-5.4447  ,0.5242   ,-10.387,0.0000 ,-6.4726 ,-4.4168 
pre_cohort_log_restriction_2_0,-0.1546  ,0.0893   ,-1.7314,0.0835 ,-0.3297 ,0.0205  

F-test for Poolability: 251.37
P-value: 0.0000
Distribution: F(45,2810)

Included effects: Entity, Time
