                     PanelOLS Estimation Summary                     
Dep. Variable:   ,log_emp         ,  R-squared:           ,0.2244    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4386   
No. Observations:,7770            ,  R-squared (Within):  ,-2.9456   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.6814   
Time:            ,16:25:21        ,  Log-likelihood       ,-990.31   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,2.083e+05 
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,29.656          ,  Distribution:        ,F(21,7477)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,33.000          ,  F-statistic (robust):,-1.316e+14
                 ,                ,  P-value              ,1.0000    
Time periods:    ,38              ,  Distribution:        ,F(21,7477)
Avg Obs:         ,204.47          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,238.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,2.7311   ,3.2347   ,0.8443 ,0.3985 ,-3.6098 ,9.0721  
L_0_chg_log_restriction_2_0   ,-0.0232  ,0.1362   ,-0.1702,0.8648 ,-0.2902 ,0.2438  
L_0_entry_rate_whole          ,-1.4606  ,0.4644   ,-3.1449,0.0017 ,-2.3711 ,-0.5502 
L_0_log_gdp                   ,0.5963   ,0.2498   ,2.3875 ,0.0170 ,0.1067  ,1.0859  
L_1_chg_log_restriction_2_0   ,0.0019   ,0.1144   ,0.0164 ,0.9869 ,-0.2224 ,0.2261  
L_1_entry_rate_whole          ,0.3451   ,0.2649   ,1.3028 ,0.1927 ,-0.1742 ,0.8643  
L_1_log_gdp                   ,0.3731   ,0.2269   ,1.6444 ,0.1001 ,-0.0717 ,0.8179  
L_2_chg_log_restriction_2_0   ,-0.0958  ,0.1378   ,-0.6953,0.4869 ,-0.3659 ,0.1743  
L_2_entry_rate_whole          ,0.3752   ,0.2416   ,1.5529 ,0.1205 ,-0.0984 ,0.8488  
L_2_log_gdp                   ,0.1180   ,0.1683   ,0.7013 ,0.4831 ,-0.2118 ,0.4478  
L_3_chg_log_restriction_2_0   ,0.0664   ,0.1797   ,0.3698 ,0.7115 ,-0.2858 ,0.4187  
L_3_entry_rate_whole          ,0.4799   ,0.2266   ,2.1177 ,0.0342 ,0.0357  ,0.9241  
L_3_log_gdp                   ,-0.2333  ,0.1155   ,-2.0202,0.0434 ,-0.4597 ,-0.0069 
L_4_chg_log_restriction_2_0   ,-0.0074  ,0.2496   ,-0.0296,0.9764 ,-0.4967 ,0.4820  
L_4_entry_rate_whole          ,-0.0384  ,0.5627   ,-0.0682,0.9457 ,-1.1413 ,1.0646  
L_4_log_gdp                   ,0.1529   ,0.1410   ,1.0843 ,0.2783 ,-0.1235 ,0.4294  
L_5_chg_log_restriction_2_0   ,0.0516   ,0.2780   ,0.1857 ,0.8527 ,-0.4934 ,0.5967  
L_5_entry_rate_whole          ,3.1511   ,0.4956   ,6.3579 ,0.0000 ,2.1795  ,4.1226  
L_5_log_gdp                   ,0.1994   ,0.0892   ,2.2343 ,0.0255 ,0.0245  ,0.3743  
L_6_entry_rate_whole          ,-0.4453  ,0.5209   ,-0.8548,0.3927 ,-1.4664 ,0.5758  
L_6_log_gdp                   ,0.0492   ,0.1372   ,0.3586 ,0.7199 ,-0.2198 ,0.3183  
pre_cohort_log_restriction_2_0,-0.1412  ,0.2438   ,-0.5793,0.5624 ,-0.6190 ,0.3366  

F-test for Poolability: 335.41
P-value: 0.0000
Distribution: F(271,7477)

Included effects: Entity, Time
