                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,log_emp         ,  R-squared:         ,0.9784   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.9776   
No. Observations:,9412            ,  F-statistic:       ,1.543e+08
Date:            ,Tue, Sep 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:54        ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.2111]      ,9.4571   ,2.0565   ,4.5987 ,0.0000 ,5.4265  ,13.488  
C(sector)[T.2121]      ,9.5160   ,2.0647   ,4.6089 ,0.0000 ,5.4692  ,13.563  
C(sector)[T.2122]      ,8.4751   ,2.0599   ,4.1143 ,0.0000 ,4.4377  ,12.512  
C(sector)[T.2123]      ,9.3245   ,2.0567   ,4.5338 ,0.0000 ,5.2935  ,13.356  
C(sector)[T.2131]      ,10.183   ,2.0551   ,4.9552 ,0.0000 ,6.1553  ,14.211  
C(sector)[T.2211]      ,10.866   ,2.1118   ,5.1453 ,0.0000 ,6.7268  ,15.005  
C(sector)[T.2212]      ,9.1664   ,2.1022   ,4.3603 ,0.0000 ,5.0461  ,13.287  
C(sector)[T.2213]      ,8.2093   ,2.1066   ,3.8969 ,0.0001 ,4.0804  ,12.338  
C(sector)[T.2361]      ,10.088   ,1.7448   ,5.7820 ,0.0000 ,6.6686  ,13.508  
C(sector)[T.2362]      ,10.078   ,1.7471   ,5.7684 ,0.0000 ,6.6535  ,13.502  
C(sector)[T.2371]      ,9.6423   ,1.7447   ,5.5266 ,0.0000 ,6.2228  ,13.062  
C(sector)[T.2372]      ,7.6728   ,1.7510   ,4.3821 ,0.0000 ,4.2410  ,11.105  
C(sector)[T.2373]      ,9.2100   ,1.7482   ,5.2681 ,0.0000 ,5.7835  ,12.637  
C(sector)[T.2379]      ,7.9041   ,1.7506   ,4.5151 ,0.0000 ,4.4730  ,11.335  
C(sector)[T.2381]      ,10.285   ,1.7470   ,5.8870 ,0.0000 ,6.8607  ,13.709  
C(sector)[T.2382]      ,10.960   ,1.7441   ,6.2842 ,0.0000 ,7.5420  ,14.379  
C(sector)[T.2383]      ,10.162   ,1.7450   ,5.8235 ,0.0000 ,6.7418  ,13.582  
C(sector)[T.2389]      ,9.6842   ,1.7439   ,5.5532 ,0.0000 ,6.2662  ,13.102  
C(sector)[T.3111]      ,7.1196   ,2.5560   ,2.7854 ,0.0053 ,2.1099  ,12.129  
C(sector)[T.3112]      ,7.2877   ,2.5613   ,2.8453 ,0.0044 ,2.2676  ,12.308  
C(sector)[T.3113]      ,7.5691   ,2.5620   ,2.9543 ,0.0031 ,2.5476  ,12.591  
C(sector)[T.3114]      ,8.3099   ,2.5633   ,3.2418 ,0.0012 ,3.2859  ,13.334  
