                     PanelOLS Estimation Summary                     
Dep. Variable:   ,net_job_creation,  R-squared:           ,0.0164    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.2875   
No. Observations:,7810            ,  R-squared (Within):  ,0.0244    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.0046   
Time:            ,12:34:38        ,  Log-likelihood       ,-7.136e+04
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,12.635    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,29.809          ,  Distribution:        ,F(16,7519)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,33.000          ,  F-statistic (robust):,8.1291    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(16,7519)
Avg Obs:         ,229.71          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                                  Parameter Estimates                                  
                              ,Parameter,Std. Err., T-stat,P-value, Lower CI , Upper CI
const                         ,-443.75  ,5993.2   ,-0.0740,0.9410 ,-1.219e+04,1.13e+04 
L_0_entry_rate_whole          ,5426.1   ,3323.9   ,1.6325 ,0.1026 ,-1089.5   ,1.194e+04
L_0_log_gdp                   ,5076.4   ,2460.2   ,2.0634 ,0.0391 ,253.63    ,9899.1   
L_1_entry_rate_whole          ,-127.10  ,3655.7   ,-0.0348,0.9723 ,-7293.3   ,7039.1   
L_1_log_gdp                   ,-2182.6  ,2080.4   ,-1.0492,0.2941 ,-6260.7   ,1895.5   
L_2_entry_rate_whole          ,-790.43  ,3249.8   ,-0.2432,0.8078 ,-7161.0   ,5580.1   
L_2_log_gdp                   ,-4187.2  ,1424.4   ,-2.9397,0.0033 ,-6979.4   ,-1395.0  
L_3_entry_rate_whole          ,-794.47  ,1192.7   ,-0.6661,0.5054 ,-3132.5   ,1543.5   
L_3_log_gdp                   ,-992.43  ,1536.5   ,-0.6459,0.5184 ,-4004.4   ,2019.6   
L_4_entry_rate_whole          ,966.08   ,1031.1   ,0.9370 ,0.3488 ,-1055.1   ,2987.3   
L_4_log_gdp                   ,159.12   ,1355.0   ,0.1174 ,0.9065 ,-2497.1   ,2815.4   
L_5_entry_rate_whole          ,-4114.9  ,1472.9   ,-2.7937,0.0052 ,-7002.3   ,-1227.6  
L_5_log_gdp                   ,1807.8   ,1062.2   ,1.7020 ,0.0888 ,-274.37   ,3889.9   
curr_chg_restriction_2_0      ,109.32   ,1214.4   ,0.0900 ,0.9283 ,-2271.2   ,2489.9   
enter_chg_restriction_2_0     ,1562.5   ,1289.7   ,1.2115 ,0.2257 ,-965.65   ,4090.7   
life_chg_restriction_2_0      ,-11.203  ,1639.7   ,-0.0068,0.9945 ,-3225.5   ,3203.1   
pre_cohort_log_restriction_2_0,172.44   ,551.85   ,0.3125 ,0.7547 ,-909.35   ,1254.2   

F-test for Poolability: 4.2778
P-value: 0.0000
Distribution: F(274,7519)

Included effects: Entity, Time
