                     PanelOLS Estimation Summary                     
Dep. Variable:   ,net_job_creation,  R-squared:           ,0.0203    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-3.8284   
No. Observations:,7302            ,  R-squared (Within):  ,-0.0767   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.3464   
Time:            ,12:34:39        ,  Log-likelihood       ,-6.631e+04
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,14.650    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,27.870          ,  Distribution:        ,F(18,7012)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,31.000          ,  F-statistic (robust):,24.409    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(18,7012)
Avg Obs:         ,221.27          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,240.00          ,                       ,          
                 ,                ,                       ,          
                                  Parameter Estimates                                  
                              ,Parameter,Std. Err., T-stat,P-value, Lower CI , Upper CI
const                         ,1.67e+04 ,4484.2   ,3.7246 ,0.0002 ,7911.6    ,2.549e+04
L_0_entry_rate_whole          ,9773.2   ,4684.1   ,2.0865 ,0.0370 ,591.03    ,1.896e+04
L_0_log_gdp                   ,3553.3   ,1619.1   ,2.1947 ,0.0282 ,379.47    ,6727.2   
L_1_entry_rate_whole          ,-6276.1  ,3373.5   ,-1.8604,0.0629 ,-1.289e+04,336.99   
L_1_log_gdp                   ,-1649.1  ,747.35   ,-2.2066,0.0274 ,-3114.2   ,-184.09  
L_2_entry_rate_whole          ,2024.0   ,1531.2   ,1.3218 ,0.1863 ,-977.69   ,5025.7   
L_2_log_gdp                   ,-2856.2  ,1736.7   ,-1.6446,0.1001 ,-6260.6   ,548.24   
L_3_entry_rate_whole          ,-1554.7  ,1557.4   ,-0.9983,0.3182 ,-4607.7   ,1498.3   
L_3_log_gdp                   ,-1675.2  ,1475.6   ,-1.1353,0.2563 ,-4567.8   ,1217.5   
L_4_entry_rate_whole          ,-2096.2  ,1614.4   ,-1.2984,0.1942 ,-5260.8   ,1068.5   
L_4_log_gdp                   ,791.53   ,1591.2   ,0.4974 ,0.6189 ,-2327.7   ,3910.8   
L_5_entry_rate_whole          ,-2996.1  ,1308.6   ,-2.2896,0.0221 ,-5561.3   ,-430.90  
L_5_log_gdp                   ,2263.9   ,1976.0   ,1.1457 ,0.2519 ,-1609.6   ,6137.5   
L_6_entry_rate_whole          ,799.96   ,1753.5   ,0.4562 ,0.6483 ,-2637.4   ,4237.3   
L_6_log_gdp                   ,-1552.8  ,1000.7   ,-1.5516,0.1208 ,-3514.6   ,408.96   
curr_chg_restriction_2_0      ,-572.62  ,361.38   ,-1.5845,0.1131 ,-1281.0   ,135.79   
enter_chg_restriction_2_0     ,-825.57  ,520.72   ,-1.5854,0.1129 ,-1846.3   ,195.20   
life_chg_restriction_2_0      ,-2990.9  ,1613.7   ,-1.8535,0.0639 ,-6154.3   ,172.40   
pre_cohort_log_restriction_2_0,-989.13  ,353.47   ,-2.7984,0.0052 ,-1682.0   ,-296.23  

F-test for Poolability: 3.3964
P-value: 0.0000
Distribution: F(271,7012)

Included effects: Entity, Time
