                     PanelOLS Estimation Summary                      
Dep. Variable:   ,net_job_creation,  R-squared:           ,0.0123     
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4483    
No. Observations:,33150           ,  R-squared (Within):  ,-0.0214    
Date:            ,Wed, Jul 13 2022,  R-squared (Overall): ,-0.0717    
Time:            ,09:51:44        ,  Log-likelihood       ,-3.03e+05  
Cov. Estimator:  ,Robust          ,                       ,           
                 ,                ,  F-statistic:         ,74.815     
Entities:        ,262             ,  P-value              ,0.0000     
Avg Obs:         ,126.53          ,  Distribution:        ,F(13,32857)
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,140.00          ,  F-statistic (robust):,8.1039     
                 ,                ,  P-value              ,0.0000     
Time periods:    ,40              ,  Distribution:        ,F(13,32857)
Avg Obs:         ,828.75          ,                       ,           
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,956.00          ,                       ,           
                 ,                ,                       ,           
                               Parameter Estimates                               
                           ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.2.0]    ,1493.2   ,2795.9   ,0.5341 ,0.5933 ,-3986.8 ,6973.1  
C(age_grp_dummy)[T.3.0]    ,1368.5   ,2798.0   ,0.4891 ,0.6248 ,-4115.7 ,6852.7  
C(age_grp_dummy)[T.4.0]    ,1430.2   ,2791.1   ,0.5124 ,0.6084 ,-4040.5 ,6900.9  
C(age_grp_dummy)[T.5.0]    ,1298.4   ,2784.1   ,0.4663 ,0.6410 ,-4158.6 ,6755.3  
L_0_entry_rate_whole       ,5623.0   ,1769.0   ,3.1787 ,0.0015 ,2155.7  ,9090.3  
L_0_log_gdp                ,3906.1   ,590.93   ,6.6101 ,0.0000 ,2747.8  ,5064.3  
L_0_log_restriction_2_0    ,-601.00  ,407.89   ,-1.4735,0.1406 ,-1400.5 ,198.47  
cohort_entry_rate_whole    ,-2872.1  ,903.27   ,-3.1797,0.0015 ,-4642.6 ,-1101.7 
cohort_log_gdp             ,878.37   ,484.17   ,1.8142 ,0.0697 ,-70.627 ,1827.4  
cohort_log_restriction_2_0 ,-60.122  ,371.80   ,-0.1617,0.8715 ,-788.87 ,668.62  
inc_avg_entry_rate_whole   ,3508.4   ,1747.1   ,2.0081 ,0.0446 ,84.001  ,6932.8  
inc_avg_log_gdp            ,-5283.2  ,867.72   ,-6.0886,0.0000 ,-6984.0 ,-3582.4 
inc_avg_log_restriction_2_0,520.51   ,601.96   ,0.8647 ,0.3872 ,-659.35 ,1700.4  
log_emp_cohort             ,240.58   ,85.356   ,2.8185 ,0.0048 ,73.277  ,407.88  

F-test for Poolability: 21.931
P-value: 0.0000
Distribution: F(279,32857)

Included effects: Entity, Time
