                     PanelOLS Estimation Summary                     
Dep. Variable:   ,net_job_creation,  R-squared:           ,0.0203    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-3.7321   
No. Observations:,7302            ,  R-squared (Within):  ,-0.0748   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.3377   
Time:            ,12:34:28        ,  Log-likelihood       ,-6.631e+04
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,16.478    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,27.870          ,  Distribution:        ,F(16,7014)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,31.000          ,  F-statistic (robust):,18.396    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(16,7014)
Avg Obs:         ,221.27          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,240.00          ,                       ,          
                 ,                ,                       ,          
                                  Parameter Estimates                                  
                              ,Parameter,Std. Err., T-stat,P-value, Lower CI , Upper CI
const                         ,1.647e+04,4382.9   ,3.7585 ,0.0002 ,7881.3    ,2.507e+04
L_0_entry_rate_whole          ,9771.3   ,4671.7   ,2.0916 ,0.0365 ,613.30    ,1.893e+04
L_0_log_gdp                   ,3546.2   ,1613.7   ,2.1975 ,0.0280 ,382.84    ,6709.6   
L_1_entry_rate_whole          ,-6256.0  ,3349.5   ,-1.8678,0.0618 ,-1.282e+04,309.98   
L_1_log_gdp                   ,-1650.1  ,760.69   ,-2.1692,0.0301 ,-3141.2   ,-158.87  
L_2_entry_rate_whole          ,1996.0   ,1492.6   ,1.3372 ,0.1812 ,-930.01   ,4922.0   
L_2_log_gdp                   ,-2835.3  ,1863.4   ,-1.5216,0.1282 ,-6488.1   ,817.51   
L_3_entry_rate_whole          ,-1554.2  ,1532.4   ,-1.0142,0.3105 ,-4558.2   ,1449.8   
L_3_log_gdp                   ,-1685.3  ,1434.9   ,-1.1745,0.2402 ,-4498.2   ,1127.5   
L_4_entry_rate_whole          ,-2096.6  ,1603.0   ,-1.3079,0.1909 ,-5238.8   ,1045.7   
L_4_log_gdp                   ,801.00   ,1600.6   ,0.5004 ,0.6168 ,-2336.7   ,3938.7   
L_5_entry_rate_whole          ,-2988.9  ,1299.7   ,-2.2997,0.0215 ,-5536.7   ,-441.09  
L_5_log_gdp                   ,2243.5   ,1911.7   ,1.1736 ,0.2406 ,-1504.0   ,5991.1   
L_6_entry_rate_whole          ,799.82   ,1748.3   ,0.4575 ,0.6473 ,-2627.5   ,4227.1   
L_6_log_gdp                   ,-1536.2  ,956.97   ,-1.6052,0.1085 ,-3412.1   ,339.78   
full_chg_restriction_2_0      ,-3611.3  ,1534.8   ,-2.3530,0.0187 ,-6620.0   ,-602.65  
pre_cohort_log_restriction_2_0,-972.12  ,348.37   ,-2.7905,0.0053 ,-1655.0   ,-289.21  

F-test for Poolability: 3.4137
P-value: 0.0000
Distribution: F(271,7014)

Included effects: Entity, Time
