                      PanelOLS Estimation Summary                      
Dep. Variable:   ,per_emp_chg_cohort,  R-squared:           ,0.1872    
Estimator:       ,PanelOLS          ,  R-squared (Between): ,-7.9128   
No. Observations:,3274              ,  R-squared (Within):  ,-0.2662   
Date:            ,Wed, Aug 10 2022  ,  R-squared (Overall): ,-0.9136   
Time:            ,16:26:21          ,  Log-likelihood       ,2559.8    
Cov. Estimator:  ,Robust            ,                       ,          
                 ,                  ,  F-statistic:         ,47.699    
Entities:        ,17                ,  P-value              ,0.0000    
Avg Obs:         ,192.59            ,  Distribution:        ,F(16,3210)
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,290.00            ,  F-statistic (robust):,22.817    
                 ,                  ,  P-value              ,0.0000    
Time periods:    ,38                ,  Distribution:        ,F(16,3210)
Avg Obs:         ,86.158            ,                       ,          
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,105.00            ,                       ,          
                 ,                  ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,1.2225   ,0.4728   ,2.5855 ,0.0098 ,0.2954  ,2.1495  
L_0_entry_rate_whole          ,0.8897   ,0.5983   ,1.4872 ,0.1371 ,-0.2833 ,2.0627  
L_0_log_gdp                   ,-0.0484  ,0.1059   ,-0.4569,0.6478 ,-0.2561 ,0.1593  
L_1_entry_rate_whole          ,-0.5678  ,0.8071   ,-0.7035,0.4818 ,-2.1504 ,1.0147  
L_1_log_gdp                   ,0.0982   ,0.1733   ,0.5667 ,0.5710 ,-0.2416 ,0.4380  
L_2_entry_rate_whole          ,0.8354   ,0.7984   ,1.0464 ,0.2955 ,-0.7300 ,2.4008  
L_2_log_gdp                   ,0.0908   ,0.1594   ,0.5695 ,0.5690 ,-0.2218 ,0.4034  
L_3_entry_rate_whole          ,-0.4136  ,0.7124   ,-0.5805,0.5616 ,-1.8105 ,0.9833  
L_3_log_gdp                   ,0.0419   ,0.1474   ,0.2846 ,0.7760 ,-0.2470 ,0.3308  
L_4_entry_rate_whole          ,5.4007   ,0.6915   ,7.8096 ,0.0000 ,4.0448  ,6.7566  
L_4_log_gdp                   ,0.0796   ,0.1439   ,0.5529 ,0.5803 ,-0.2026 ,0.3618  
L_5_entry_rate_whole          ,-2.0733  ,0.5296   ,-3.9147,0.0001 ,-3.1118 ,-1.0349 
L_5_log_gdp                   ,-0.3219  ,0.0967   ,-3.3291,0.0009 ,-0.5115 ,-0.1323 
cross                         ,0.0409   ,0.0389   ,1.0522 ,0.2928 ,-0.0354 ,0.1173  
full_chg_restriction_2_0      ,-0.2938  ,0.2002   ,-1.4677,0.1423 ,-0.6864 ,0.0987  
large_firm                    ,-0.7749  ,0.4354   ,-1.7795,0.0752 ,-1.6286 ,0.0789  
pre_cohort_log_restriction_2_0,-0.1269  ,0.0322   ,-3.9420,0.0001 ,-0.1900 ,-0.0638 

F-test for Poolability: 27.700
P-value: 0.0000
Distribution: F(47,3210)

Included effects: Entity, Time
