                      PanelOLS Estimation Summary                      
Dep. Variable:   ,per_emp_chg_cohort,  R-squared:           ,0.1856    
Estimator:       ,PanelOLS          ,  R-squared (Between): ,-3.2708   
No. Observations:,3145              ,  R-squared (Within):  ,-0.0194   
Date:            ,Wed, Aug 10 2022  ,  R-squared (Overall): ,-0.3779   
Time:            ,16:26:22          ,  Log-likelihood       ,2234.9    
Cov. Estimator:  ,Robust            ,                       ,          
                 ,                  ,  F-statistic:         ,32.614    
Entities:        ,17                ,  P-value              ,0.0000    
Avg Obs:         ,185.00            ,  Distribution:        ,F(23,3076)
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,276.00            ,  F-statistic (robust):,14.823    
                 ,                  ,  P-value              ,0.0000    
Time periods:    ,38                ,  Distribution:        ,F(23,3076)
Avg Obs:         ,82.763            ,                       ,          
Min Obs:         ,0.0000            ,                       ,          
Max Obs:         ,107.00            ,                       ,          
                 ,                  ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.4889   ,0.5487   ,0.8910 ,0.3730 ,-0.5869 ,1.5647  
L_0_chg_log_restriction_2_0   ,-0.2085  ,0.0831   ,-2.5088,0.0122 ,-0.3715 ,-0.0455 
L_0_entry_rate_whole          ,0.8905   ,0.7556   ,1.1785 ,0.2387 ,-0.5910 ,2.3721  
L_0_log_gdp                   ,0.2003   ,0.1107   ,1.8095 ,0.0705 ,-0.0167 ,0.4173  
L_1_chg_log_restriction_2_0   ,-0.0779  ,0.0867   ,-0.8980,0.3693 ,-0.2478 ,0.0921  
L_1_entry_rate_whole          ,0.2699   ,1.0062   ,0.2682 ,0.7885 ,-1.7029 ,2.2428  
L_1_log_gdp                   ,-0.0386  ,0.1507   ,-0.2563,0.7977 ,-0.3342 ,0.2569  
L_2_chg_log_restriction_2_0   ,-0.2658  ,0.0957   ,-2.7778,0.0055 ,-0.4534 ,-0.0782 
L_2_entry_rate_whole          ,0.2911   ,0.9597   ,0.3033 ,0.7616 ,-1.5906 ,2.1728  
L_2_log_gdp                   ,-0.1845  ,0.1621   ,-1.1381,0.2552 ,-0.5023 ,0.1333  
L_3_chg_log_restriction_2_0   ,-0.0877  ,0.0999   ,-0.8779,0.3801 ,-0.2837 ,0.1082  
L_3_entry_rate_whole          ,0.2566   ,0.9458   ,0.2713 ,0.7862 ,-1.5979 ,2.1112  
L_3_log_gdp                   ,-0.0244  ,0.1834   ,-0.1329,0.8943 ,-0.3840 ,0.3352  
L_4_chg_log_restriction_2_0   ,-0.0723  ,0.0992   ,-0.7288,0.4662 ,-0.2667 ,0.1221  
L_4_entry_rate_whole          ,0.1215   ,0.8256   ,0.1472 ,0.8830 ,-1.4974 ,1.7404  
L_4_log_gdp                   ,0.1915   ,0.1695   ,1.1296 ,0.2587 ,-0.1409 ,0.5239  
L_5_chg_log_restriction_2_0   ,0.0162   ,0.0910   ,0.1785 ,0.8584 ,-0.1623 ,0.1948  
L_5_entry_rate_whole          ,4.4040   ,0.7910   ,5.5675 ,0.0000 ,2.8530  ,5.9549  
L_5_log_gdp                   ,0.0794   ,0.1477   ,0.5374 ,0.5911 ,-0.2103 ,0.3690  
L_6_entry_rate_whole          ,-0.9002  ,0.6175   ,-1.4578,0.1450 ,-2.1111 ,0.3106  
L_6_log_gdp                   ,-0.2547  ,0.1045   ,-2.4373,0.0149 ,-0.4596 ,-0.0498 
cross                         ,0.0381   ,0.0360   ,1.0593 ,0.2896 ,-0.0325 ,0.1087  
large_firm                    ,-0.7403  ,0.4002   ,-1.8500,0.0644 ,-1.5249 ,0.0443  
pre_cohort_log_restriction_2_0,-0.0863  ,0.0377   ,-2.2918,0.0220 ,-0.1601 ,-0.0125 

F-test for Poolability: 22.163
P-value: 0.0000
Distribution: F(45,3076)

Included effects: Entity, Time
