                     PanelOLS Estimation Summary                     
Dep. Variable:   ,per_emp_chg     ,  R-squared:           ,0.1342    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.6465   
No. Observations:,8301            ,  R-squared (Within):  ,0.1778    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.1038    
Time:            ,14:29:59        ,  Log-likelihood       ,35.766    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,91.256    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,31.683          ,  Distribution:        ,F(14,8010)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,35.000          ,  F-statistic (robust):,-1.201e+14
                 ,                ,  P-value              ,1.0000    
Time periods:    ,35              ,  Distribution:        ,F(14,8010)
Avg Obs:         ,237.17          ,                       ,          
Min Obs:         ,233.00          ,                       ,          
Max Obs:         ,240.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-1.1577  ,0.6207   ,-1.8652,0.0622 ,-2.3745 ,0.0590  
L_0_entry_rate_whole          ,-3.3806  ,0.4416   ,-7.6555,0.0000 ,-4.2463 ,-2.5150 
L_0_log_gdp                   ,-0.2048  ,0.1808   ,-1.1324,0.2575 ,-0.5593 ,0.1497  
L_1_entry_rate_whole          ,-0.0531  ,0.2235   ,-0.2378,0.8121 ,-0.4913 ,0.3850  
L_1_log_gdp                   ,0.3683   ,0.2199   ,1.6748 ,0.0940 ,-0.0628 ,0.7994  
L_2_entry_rate_whole          ,-0.0565  ,0.1259   ,-0.4486,0.6538 ,-0.3034 ,0.1904  
L_2_log_gdp                   ,0.0370   ,0.1487   ,0.2489 ,0.8035 ,-0.2545 ,0.3286  
L_3_entry_rate_whole          ,1.8669   ,0.5513   ,3.3862 ,0.0007 ,0.7862  ,2.9477  
L_3_log_gdp                   ,0.3011   ,0.1325   ,2.2730 ,0.0231 ,0.0414  ,0.5608  
L_4_entry_rate_whole          ,0.1485   ,0.1808   ,0.8215 ,0.4114 ,-0.2058 ,0.5028  
L_4_log_gdp                   ,-0.4117  ,0.1923   ,-2.1403,0.0324 ,-0.7887 ,-0.0346 
curr_chg_restriction_2_0      ,0.1471   ,0.0734   ,2.0026 ,0.0453 ,0.0031  ,0.2911  
enter_chg_restriction_2_0     ,0.2768   ,0.0923   ,2.9973 ,0.0027 ,0.0958  ,0.4578  
life_chg_restriction_2_0      ,0.2522   ,0.2126   ,1.1861 ,0.2356 ,-0.1646 ,0.6689  
pre_cohort_log_restriction_2_0,0.0684   ,0.0522   ,1.3118 ,0.1896 ,-0.0338 ,0.1707  

F-test for Poolability: 7.2175
P-value: 0.0000
Distribution: F(276,8010)

Included effects: Entity, Time
