                     PanelOLS Estimation Summary                     
Dep. Variable:   ,per_emp_chg     ,  R-squared:           ,0.2779    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.5085   
No. Observations:,2917            ,  R-squared (Within):  ,0.3960    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.2661    
Time:            ,14:29:54        ,  Log-likelihood       ,2665.3    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,68.374    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,171.59          ,  Distribution:        ,F(16,2855)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,264.00          ,  F-statistic (robust):,28.414    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(16,2855)
Avg Obs:         ,85.794          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,97.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.7008  ,0.3873   ,-1.8092,0.0705 ,-1.4602 ,0.0587  
L_0_entry_rate_whole          ,-6.2891  ,0.6059   ,-10.380,0.0000 ,-7.4771 ,-5.1011 
L_0_log_gdp                   ,-0.0314  ,0.0827   ,-0.3802,0.7038 ,-0.1936 ,0.1307  
L_1_entry_rate_whole          ,0.1585   ,0.6264   ,0.2531 ,0.8002 ,-1.0697 ,1.3868  
L_1_log_gdp                   ,0.0360   ,0.1015   ,0.3545 ,0.7230 ,-0.1630 ,0.2350  
L_2_entry_rate_whole          ,-0.5508  ,0.5415   ,-1.0171,0.3092 ,-1.6126 ,0.5110  
L_2_log_gdp                   ,0.0713   ,0.0990   ,0.7203 ,0.4714 ,-0.1228 ,0.2655  
L_3_entry_rate_whole          ,0.0661   ,0.6246   ,0.1059 ,0.9157 ,-1.1586 ,1.2908  
L_3_log_gdp                   ,0.0336   ,0.1065   ,0.3153 ,0.7526 ,-0.1753 ,0.2424  
L_4_entry_rate_whole          ,4.8439   ,0.5869   ,8.2527 ,0.0000 ,3.6930  ,5.9948  
L_4_log_gdp                   ,0.0663   ,0.1130   ,0.5871 ,0.5572 ,-0.1552 ,0.2879  
L_5_entry_rate_whole          ,0.2317   ,0.4179   ,0.5544 ,0.5793 ,-0.5878 ,1.0512  
L_5_log_gdp                   ,-0.0877  ,0.0856   ,-1.0239,0.3060 ,-0.2556 ,0.0802  
cross                         ,0.0935   ,0.0373   ,2.5079 ,0.0122 ,0.0204  ,0.1665  
full_chg_restriction_2_0      ,-0.0940  ,0.1377   ,-0.6831,0.4946 ,-0.3639 ,0.1759  
large_firm                    ,-1.2551  ,0.4159   ,-3.0178,0.0026 ,-2.0707 ,-0.4396 
pre_cohort_log_restriction_2_0,0.0288   ,0.0319   ,0.9015 ,0.3674 ,-0.0338 ,0.0913  

F-test for Poolability: 12.080
P-value: 0.0000
Distribution: F(45,2855)

Included effects: Entity, Time
